target_index,target_name,anatomical_group,skeletal_or_soft_tissue,generation_method,source_file,validity_rule,sex_specific,notes
0,spleen,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
1,kidney_right,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
2,kidney_left,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
3,gallbladder,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
4,liver,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
5,stomach,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
6,pancreas,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
7,adrenal_gland_right,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
8,adrenal_gland_left,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
9,lung_upper_lobe_left,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
10,lung_lower_lobe_left,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
11,lung_upper_lobe_right,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
12,lung_middle_lobe_right,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
13,lung_lower_lobe_right,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
14,esophagus,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
15,trachea,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
16,thyroid_gland,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
17,small_bowel,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
18,duodenum,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
19,colon,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
20,urinary_bladder,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
21,prostate,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Male-only (absent in females),Standard anatomical structure
22,sacrum,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
23,vertebrae_S1,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
24,vertebrae_L5,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
25,vertebrae_L4,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
26,vertebrae_L3,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
27,vertebrae_L2,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
28,vertebrae_L1,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
29,vertebrae_T12,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
30,vertebrae_T11,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
31,vertebrae_T10,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
32,vertebrae_T9,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
33,vertebrae_T8,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
34,vertebrae_T7,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
35,vertebrae_T6,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
36,vertebrae_T5,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
37,vertebrae_T4,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
38,vertebrae_T3,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
39,vertebrae_T2,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
40,vertebrae_T1,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
41,vertebrae_C7,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
42,vertebrae_C6,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
43,vertebrae_C5,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
44,vertebrae_C4,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
45,vertebrae_C3,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
46,vertebrae_C2,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
47,vertebrae_C1,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Elongated/curved bone; centroid is volume midpoint
48,heart,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
49,aorta,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Longitudinal tubular vessel; centroid sensitive to CT slice coverage
50,pulmonary_vein,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
51,brachiocephalic_trunk,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
52,subclavian_artery_right,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
53,subclavian_artery_left,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
54,common_carotid_artery_right,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
55,common_carotid_artery_left,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
56,superior_vena_cava,Thoracic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
57,inferior_vena_cava,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Longitudinal tubular vessel; centroid sensitive to CT slice coverage
58,portal_vein_and_splenic_vein,Abdominal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
59,iliac_artery_right,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
60,iliac_artery_left,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
61,iliac_vena_right,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
62,iliac_vena_left,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
63,humerus_right,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
64,humerus_left,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
65,scapula_right,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
66,scapula_left,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
67,clavicula_right,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
68,clavicula_left,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
69,femur_right,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
70,femur_left,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
71,hip_right,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
72,hip_left,Skeletal,Skeletal,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
73,spinal_cord,Skeletal,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
74,gluteus_maximus_right,Pelvic,Soft-Tissue,scipy.ndimage.center_of_mass on TotalSegmentator v2 mask,segmentation.nii.gz (TotalSegmentator labels 1-117),Present in CT field of view; nonzero mask voxels,Both sexes,Standard anatomical structure
