patient_id,train,validation,test,duplicate_content_detected
case_000,True,False,False,False
case_001,True,False,False,False
case_002,False,False,True,False
case_003,True,False,False,False
case_004,True,False,False,False
case_005,True,False,False,False
case_006,True,False,False,False
case_007,True,False,False,False
case_008,True,False,False,False
case_009,True,False,False,False
case_010,True,False,False,False
case_011,True,False,False,False
case_012,True,False,False,False
case_013,True,False,False,False
case_014,True,False,False,False
case_015,True,False,False,False
case_016,True,False,False,False
case_017,True,False,False,False
case_018,True,False,False,False
case_019,False,True,False,False
case_020,True,False,False,False
case_021,True,False,False,False
case_022,True,False,False,False
case_023,True,False,False,False
case_024,True,False,False,False
case_025,True,False,False,False
case_026,True,False,False,False
case_027,True,False,False,False
case_028,False,False,True,False
case_029,True,False,False,False
case_030,True,False,False,False
case_031,True,False,False,False
case_032,True,False,False,False
case_033,True,False,False,True
case_034,True,False,False,False
case_035,True,False,False,False
case_036,True,False,False,False
case_037,True,False,False,False
case_038,True,False,False,False
case_039,True,False,False,False
case_040,True,False,False,False
case_041,True,False,False,False
case_042,False,True,False,False
case_043,True,False,False,False
case_044,True,False,False,False
case_045,True,False,False,False
case_046,True,False,False,False
case_047,True,False,False,False
case_048,True,False,False,False
case_049,True,False,False,False
case_050,True,False,False,False
case_051,True,False,False,False
case_052,True,False,False,False
case_053,False,True,False,False
case_054,False,False,True,False
case_055,True,False,False,False
case_056,True,False,False,False
case_057,True,False,False,False
case_058,True,False,False,False
case_059,True,False,False,False
case_060,True,False,False,False
case_061,True,False,False,False
case_062,True,False,False,False
case_063,False,True,False,False
case_064,True,False,False,False
case_065,True,False,False,False
case_066,True,False,False,False
case_067,True,False,False,False
case_068,True,False,False,False
case_069,True,False,False,False
case_070,True,False,False,False
case_071,True,False,False,False
case_072,True,False,False,False
case_073,True,False,False,False
case_074,True,False,False,False
case_075,True,False,False,False
case_076,True,False,False,False
case_077,True,False,False,False
case_078,True,False,False,False
case_079,True,False,False,False
case_080,True,False,False,False
case_081,True,False,False,False
case_082,True,False,False,False
case_083,True,False,False,False
case_084,True,False,False,False
case_085,False,True,False,False
case_086,True,False,False,False
case_087,True,False,False,False
case_088,True,False,False,False
case_089,True,False,False,False
case_090,True,False,False,False
case_091,True,False,False,False
case_092,True,False,False,False
case_093,True,False,False,False
case_094,True,False,False,False
case_095,True,False,False,False
case_096,False,False,True,True
case_097,False,True,False,False
case_098,True,False,False,False
case_099,False,True,False,False
case_100,True,False,False,True
case_101,True,False,False,False
case_102,True,False,False,False
case_103,True,False,False,False
case_104,True,False,False,False
case_105,True,False,False,False
case_106,True,False,False,False
case_107,True,False,False,False
case_108,True,False,False,False
case_109,True,False,False,False
case_110,True,False,False,False
case_111,True,False,False,False
case_112,True,False,False,False
case_113,True,False,False,False
case_114,False,False,True,False
case_115,True,False,False,False
case_116,False,False,True,False
case_117,False,False,True,False
case_118,True,False,False,False
case_119,False,True,False,False
case_120,True,False,False,False
case_121,True,False,False,False
case_122,False,False,True,False
case_123,True,False,False,False
case_124,True,False,False,False
case_125,True,False,False,False
case_126,True,False,False,False
case_127,False,True,False,False
case_128,True,False,False,False
case_129,True,False,False,False
case_130,False,False,True,False
case_131,True,False,False,False
case_132,True,False,False,False
case_133,True,False,False,False
case_134,False,True,False,False
case_135,False,False,True,False
case_136,True,False,False,False
case_137,True,False,False,False
case_138,True,False,False,False
case_139,True,False,False,False
case_140,True,False,False,False
case_141,False,True,False,False
case_142,True,False,False,False
case_143,True,False,False,False
case_144,True,False,False,True
case_145,True,False,False,False
case_146,True,False,False,False
case_147,True,False,False,False
case_148,False,False,True,False
case_149,True,False,False,False
case_150,True,False,False,False
case_151,False,False,True,False
case_152,True,False,False,True
case_153,True,False,False,False
case_154,True,False,False,False
case_155,True,False,False,False
case_156,True,False,False,False
case_157,True,False,False,False
case_158,True,False,False,False
case_159,True,False,False,False
case_160,False,False,True,False
case_161,True,False,False,False
case_162,True,False,False,False
case_163,True,False,False,False
case_164,False,False,True,False
case_165,False,False,True,False
case_166,True,False,False,False
case_167,False,False,True,False
case_168,True,False,False,False
case_169,True,False,False,False
case_170,True,False,False,False
case_171,False,True,False,False
case_172,False,False,True,False
case_173,True,False,False,False
case_174,True,False,False,False
case_175,False,False,True,False
case_176,True,False,False,False
case_177,True,False,False,False
case_178,True,False,False,False
case_179,True,False,False,False
case_180,True,False,False,False
case_181,True,False,False,False
case_182,True,False,False,False
case_183,True,False,False,False
case_184,True,False,False,False
case_185,True,False,False,False
case_186,True,False,False,False
case_187,True,False,False,False
case_188,True,False,False,False
case_189,True,False,False,False
case_190,True,False,False,False
case_191,True,False,False,False
case_192,False,False,True,False
case_193,True,False,False,False
case_194,True,False,False,False
case_195,False,False,True,False
case_196,True,False,False,False
case_197,True,False,False,False
case_198,True,False,False,False
case_199,True,False,False,False
case_200,True,False,False,False
case_201,True,False,False,False
case_202,True,False,False,False
case_203,True,False,False,False
case_204,True,False,False,False
case_205,False,False,True,False
case_206,False,False,True,False
case_207,True,False,False,False
case_208,True,False,False,False
case_209,False,True,False,False
case_210,True,False,False,False
case_211,True,False,False,False
case_212,False,True,False,False
case_213,False,True,False,False
case_214,True,False,False,False
case_215,True,False,False,False
case_216,True,False,False,False
case_217,True,False,False,False
case_218,True,False,False,False
case_219,True,False,False,True
case_220,True,False,False,False
case_221,True,False,False,False
case_222,False,True,False,False
case_223,True,False,False,False
case_224,True,False,False,False
case_225,True,False,False,False
case_226,False,False,True,False
case_227,False,True,False,False
case_228,True,False,False,False
case_229,True,False,False,False
case_230,True,False,False,False
case_231,True,False,False,False
case_232,True,False,False,False
case_233,False,False,True,False
case_234,True,False,False,False
case_235,True,False,False,False
case_236,True,False,False,False
case_237,True,False,False,False
case_238,False,True,False,False
case_239,True,False,False,False
case_240,False,False,True,False
case_241,True,False,False,False
case_242,False,True,False,False
case_243,True,False,False,False
case_244,True,False,False,False
case_245,True,False,False,False
case_246,True,False,False,False
case_247,True,False,False,False
case_248,True,False,False,False
case_249,False,True,False,False
case_250,True,False,False,False
case_251,False,True,False,False
case_252,True,False,False,False
case_253,True,False,False,False
case_254,True,False,False,False
case_255,True,False,False,False
case_256,True,False,False,False
case_257,False,False,True,False
case_258,True,False,False,False
case_259,True,False,False,False
case_260,True,False,False,False
case_261,True,False,False,False
case_262,False,False,True,False
case_263,True,False,False,False
case_264,True,False,False,False
case_265,True,False,False,False
case_266,False,False,True,False
case_267,True,False,False,False
case_268,True,False,False,False
case_269,True,False,False,False
case_270,True,False,False,False
case_271,True,False,False,False
case_272,True,False,False,False
case_273,True,False,False,False
case_274,True,False,False,False
case_275,True,False,False,False
case_276,True,False,False,False
case_277,False,True,False,False
case_278,False,False,True,False
case_279,True,False,False,False
case_280,False,False,True,False
case_281,True,False,False,False
case_282,True,False,False,False
case_283,True,False,False,False
case_284,True,False,False,False
case_285,True,False,False,False
case_286,True,False,False,False
case_287,True,False,False,False
case_288,True,False,False,False
case_289,False,True,False,False
case_290,True,False,False,False
case_291,True,False,False,False
case_292,True,False,False,False
case_293,False,True,False,False
case_294,True,False,False,True
case_295,False,True,False,False
case_296,True,False,False,False
case_297,True,False,False,False
case_298,True,False,False,False
case_299,False,True,False,False
