Ablation,Category,Description,Macro_MRE,Delta_vs_Full,Micro_MRE,Median,P90,SDR10,SDR20
D1 Proposed Full Model,TRAINED ABLATION,"Full multiscale (SA2+SA3) memory, 117 learned queries, atlas PE, 4 layers",25.08774522634653,0.0,25.00215721130371,19.474992752075195,43.605804443359375,15.237178365132154,51.671626115876066
D2 Coarse SA3 Only,TRAINED ABLATION,"SA3 tokens only (64 tokens, no 256 SA2 tokens)",25.70250969666701,0.6147644703204804,25.56875991821289,19.800769805908203,43.34133529663086,13.968142832137232,50.56887799754944
D3 No Atlas Prior,TRAINED ABLATION,Target queries initialized without atlas coordinate PE,23.327439840023334,-1.7603053863231963,23.26490020751953,18.103763580322266,41.20370101928711,16.261158760721163,56.47645720287065
D4 Global Token Only,TRAINED ABLATION,Global pooled PointNet++ vector only (no spatial surface tokens),43.38156879865206,18.29382357230553,42.57576370239258,32.05070495605469,71.6253662109375,6.187642219499388,26.20339576404691
D5 Self-Attention Only,TRAINED ABLATION,Decoder self-attention only; surface cross-attention removed,46.09484558839064,21.00710036204411,45.34095001220703,34.92254638671875,80.01490783691406,4.358480658148083,21.521092245755295
D6 Self + Cross Attention,TRAINED ABLATION,Full cross-attention plus query self-attention layers,25.45143252152663,0.36368729518009957,25.10431480407715,20.090984344482422,43.951744079589844,13.556800280063014,49.6674251706634
D7a 2 Decoder Layers,TRAINED ABLATION,Shallow decoder (2 transformer layers),24.769111688320454,-0.3186335380260772,24.737966537475586,19.18754768371582,42.88896942138672,14.703308244354979,52.721862419044285
D7b 6 Decoder Layers,TRAINED ABLATION,Deep decoder (6 transformer layers),31.940862802358772,6.853117576012242,31.276344299316406,25.185897827148438,56.399147033691406,8.323122702608087,35.926833537545946
D9 Target Query Permutation,INFERENCE DIAGNOSTIC,Permute target query indices at inference time,46.63191736661471,21.544172140268177,48.01150894165039,37.06528854370117,89.44190979003906,4.025905828811482,19.543147208121827
D10 Patient Token Shuffle,INFERENCE DIAGNOSTIC,Shuffle surface memory tokens across different patients at test time,96.59478811117319,71.50704288482666,94.45651245117188,76.7645263671875,177.5874786376953,2.1967442674601783,9.189567652721863
