scenario,macro_mre_mm,median_mm,p90_mm,sdr10_pct,sdr20_pct
Full 360-deg Surface (Reference),24.601141416109524,19.00849151611328,42.12013244628906,14.957115350953964,53.430771923682826
3-Camera SGRT Ceiling Array,29.07668948173523,23.589576721191406,49.6239013671875,8.909504638543671,38.89375109399615
2-Camera Frontal Oblique Pair,30.553417682647705,23.22948455810547,56.02313232421875,9.522142482058463,40.10152284263959
1-Camera Frontal View,34.38471841812134,27.461509704589844,60.19432067871094,5.575004375984596,28.56642744617539
Point Dropout 10%,26.30569175573496,20.64141082763672,47.284732818603516,13.162961666374933,47.847015578505165
Point Dropout 25%,27.49465922208933,21.459938049316406,49.210662841796875,12.156485209172063,45.396464204446005
Point Dropout 50%,29.43761394574092,23.11663818359375,54.80698776245117,10.012252756870296,41.134255207421674
Depth Noise sigma = 1 mm,24.564677440203152,19.46156120300293,41.84070587158203,15.140906704008403,52.100472606336425
Depth Noise sigma = 3 mm,25.403999933829674,19.5948486328125,44.260765075683594,14.361981445825311,51.18151584106424
Depth Noise sigma = 5 mm,26.624754465543308,20.437286376953125,47.596282958984375,12.812882898652198,48.64344477507439
Scale Error -5%,26.85094118118286,20.869876861572266,46.241188049316406,12.322772623840365,47.085594258708205
Scale Error -2%,25.153606799932625,19.290895462036133,43.805259704589844,15.167162611587607,52.31927183616314
Scale Error +2%,24.71221014169546,19.42723846435547,42.6873779296875,14.720812182741117,52.17924032907404
Scale Error +5%,25.95998863073496,20.379474639892578,43.36539840698242,13.092945912830386,48.695956590232804
