experiment_id,seed,macro_mre_mm,micro_mre_mm,median_mm,p90_mm,sdr10_pct,sdr20_pct,checkpoint_sha256,checkpoint_path,config,gpu,pytorch_cuda
C0_Population_Atlas,42,65.97,64.57,50.12,115.1,2.5,12.2,63b99ea857c6af5a...,C0_Population_Atlas.pt,Zero-parameter atlas centroid,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C1_Linear_Ridge,42,63.74,61.91,49.98,115.22,1.9,10.2,93d65622921bd2e6...,C1_Linear_Ridge.pt,Surface Ridge regressor alpha=100,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C5_Internal_SSM_PCA,42,52.56,50.73,39.86,91.07,3.6,17.3,30c1bb0a21b0f528...,C5_Internal_SSM_PCA.pt,Internal SSM/PCA baseline: Surface PCA (64 comps) + Ridge,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C4_Proposed_seed42,42,25.09,25.0,19.47,43.61,15.2,51.7,760adfee1c47d80f...,C4_Proposed_seed42.pt,Proposed Target-Query Transformer 65-epoch canonical,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C4_Proposed_seed43,43,24.08,23.91,19.12,42.11,15.5,52.9,3e3c739c992b80f1...,C4_Proposed_seed43.pt,Proposed Target-Query Transformer 65-epoch canonical,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C4_Proposed_seed44,44,24.91,24.74,19.6,44.02,14.5,51.4,28fbc7b30d8539f8...,C4_Proposed_seed44.pt,Proposed Target-Query Transformer 65-epoch canonical,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C2_PointNet2_seed42,42,41.18,39.97,30.41,65.73,6.3,28.0,1f932c2a70986d69...,C2_PointNet2_seed42.pt,PointNet++ Direct Multi-Target Regressor 65-epoch,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C2_PointNet2_seed43,43,40.79,40.04,29.09,69.29,7.9,30.3,bdf48c1f8208b8a5...,C2_PointNet2_seed43.pt,PointNet++ Direct Multi-Target Regressor 65-epoch,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C2_PointNet2_seed44,44,42.22,41.39,30.14,73.75,6.9,27.7,13cfb23e693292bd...,C2_PointNet2_seed44.pt,PointNet++ Direct Multi-Target Regressor 65-epoch,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C3_DGCNN_seed42,42,44.37,43.67,31.88,75.77,5.9,25.5,0b67f983b6c9d014...,C3_DGCNN_seed42.pt,PointNet++ + DGCNN Target Decoder 65-epoch,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C3_DGCNN_seed43,43,42.38,41.78,31.38,71.4,5.6,25.4,c141fdec5267ea55...,C3_DGCNN_seed43.pt,PointNet++ + DGCNN Target Decoder 65-epoch,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
C3_DGCNN_seed44,44,43.71,42.71,30.42,75.45,6.0,25.7,037edc8177f88d4a...,C3_DGCNN_seed44.pt,PointNet++ + DGCNN Target Decoder 65-epoch,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
Domain_V2only_seed42,42,49.91,46.59,30.24,91.66,7.9,29.9,51905c362676a388...,Domain_V2only_seed42.pt,Domain Transfer: V2-only 65-epoch,NVIDIA GeForce RTX 4070 Ti SUPER,2.13.0+cu130 / 13.0
