Model,Seed,Macro_MRE,Micro_MRE,Median,P75,P90,P95,SDR5,SDR10,SDR15,SDR20
C2 PointNet++ Direct,42,41.178755906911995,39.9715461730957,30.40506362915039,44.58465576171875,65.73048400878906,87.97576141357422,1.0064764572028706,6.257657973043935,16.348678452651846,28.006301417819007
C2 PointNet++ Direct,43,40.78737931985121,40.036109924316406,29.08730697631836,46.91422653198242,69.288330078125,88.17813110351562,1.2952914405741291,7.946788027306144,18.711710134780326,30.308069315596008
C2 PointNet++ Direct,44,42.2196001639733,41.39153289794922,30.13705062866211,47.4060173034668,73.74725341796875,97.46989440917969,1.0502363031682127,6.914055662524069,16.46245405216174,27.743742342026955
C2 PointNet++ Direct,Seed Mean ± SD,41.40 ± 0.60,—,—,—,—,—,—,—,—,—
C2 PointNet++ Direct,Ensemble,39.311198491316574,38.42195510864258,27.8682918548584,43.547725677490234,65.04118347167969,86.73912048339844,1.2602835638018555,7.91178015053387,19.11430071766147,31.332049711185018
C3 DGCNN Decoder,42,44.36893646533672,43.672874450683594,31.876476287841797,49.5186882019043,75.76741027832031,96.10016632080078,1.0502363031682127,5.916331174514266,14.65079642919657,25.511990197794503
C3 DGCNN Decoder,43,42.37787033961369,41.775177001953125,31.38111114501953,48.532867431640625,71.40187072753906,93.79981231689453,0.7876772273761595,5.601260283563802,14.309469630666898,25.389462629091547
C3 DGCNN Decoder,44,43.707296481499306,42.71291732788086,30.418819427490234,47.447654724121094,75.45167541503906,101.32682037353516,0.7789252581830911,5.968842989672677,15.053387012077717,25.678277612462804
C3 DGCNN Decoder,Seed Mean ± SD,43.48 ± 0.83,—,—,—,—,—,—,—,—,—
C3 DGCNN Decoder,Ensemble,41.23977261323195,40.426143646240234,29.179651260375977,44.561805725097656,71.45381164550781,90.09215545654297,1.1377559950988971,6.642744617538947,16.733765097146858,28.05881323297742
C4 Proposed TargetQuery,42,25.08774522634653,25.00215721130371,19.474992752075195,29.566829681396484,43.605804443359375,54.82509994506836,2.6693506038858743,15.237178365132154,33.53754594783827,51.671626115876066
C4 Proposed TargetQuery,43,24.08382197526785,23.91345977783203,19.124061584472656,28.478424072265625,42.106361389160156,53.35505676269531,2.485559250831437,15.508489410117276,34.34272711360056,52.88814983371258
C4 Proposed TargetQuery,44,24.912568917641273,24.736379623413086,19.59811019897461,29.22064781188965,44.022789001464844,58.738502502441406,2.3367757745492734,14.493260983721337,33.24873096446701,51.36530719411868
C4 Proposed TargetQuery,Seed Mean ± SD,24.69 ± 0.44,24.55 ± 0.46,—,—,43.24 ± 0.82,—,—,15.1 ± 0.4%,—,52.0 ± 0.7%
C4 Proposed TargetQuery,Ensemble,23.38600054154029,23.272804260253906,18.417715072631836,27.37883949279785,40.65199279785156,53.28673553466797,2.643094696306669,16.996324172938913,36.54822335025381,55.79380360581131
