subject_id,action_id,sequence_dir,frame_index,depth_frame_path,cam_path,smpl_path,purpose
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,0,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000000.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,15,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000015.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,31,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000031.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,47,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000047.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,63,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000063.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,79,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000079.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,95,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000095.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,111,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000111.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,127,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000127.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000438,a000040,data_external/HuMMan/extracted/p000438_a000040,143,data_external/HuMMan/extracted/p000438_a000040/iphone_depth/iphone/000143.png,data_external/HuMMan/extracted/p000438_a000040/cameras.json,data_external/HuMMan/extracted/p000438_a000040/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,0,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000000.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,10,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000010.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,20,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000020.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,30,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000030.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,40,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000040.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,51,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000051.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,61,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000061.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,71,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000071.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,81,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000081.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000439,a001244,data_external/HuMMan/extracted/p000439_a001244,92,data_external/HuMMan/extracted/p000439_a001244/iphone_depth/iphone/000092.png,data_external/HuMMan/extracted/p000439_a001244/cameras.json,data_external/HuMMan/extracted/p000439_a001244/smpl_params.npz,sensor_acceptance_and_reconstruction
p000440,a000050,data_external/HuMMan/extracted/p000440_a000050,0,data_external/HuMMan/extracted/p000440_a000050/iphone_depth/iphone/000000.png,data_external/HuMMan/extracted/p000440_a000050/cameras.json,data_external/HuMMan/extracted/p000440_a000050/smpl_params.npz,sensor_acceptance_and_reconstruction
