case_id,classification,dimensions,spacing,notes
FLARE22_Tr_0001,CONFIRMED_NEW,"(512, 512, 110)","(np.float32(0.644531), np.float32(0.644531), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0002,CONFIRMED_NEW,"(512, 512, 107)","(np.float32(0.742188), np.float32(0.742188), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0003,CONFIRMED_NEW,"(512, 512, 101)","(np.float32(0.767578), np.float32(0.767578), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0004,CONFIRMED_NEW,"(512, 512, 87)","(np.float32(0.732422), np.float32(0.732422), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0005,CONFIRMED_NEW,"(512, 512, 85)","(np.float32(0.773438), np.float32(0.773438), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0006,CONFIRMED_NEW,"(512, 512, 93)","(np.float32(0.863281), np.float32(0.863281), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0007,CONFIRMED_NEW,"(512, 512, 105)","(np.float32(0.794922), np.float32(0.794922), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0008,CONFIRMED_NEW,"(512, 512, 99)","(np.float32(0.78125), np.float32(0.78125), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0009,CONFIRMED_NEW,"(512, 512, 87)","(np.float32(0.806641), np.float32(0.806641), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0010,CONFIRMED_NEW,"(512, 512, 96)","(np.float32(0.820312), np.float32(0.820312), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0011,CONFIRMED_NEW,"(512, 512, 84)","(np.float32(0.765625), np.float32(0.765625), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0012,CONFIRMED_NEW,"(512, 512, 103)","(np.float32(0.822266), np.float32(0.822266), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0013,CONFIRMED_NEW,"(512, 512, 91)","(np.float32(0.777344), np.float32(0.777344), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0014,CONFIRMED_NEW,"(512, 512, 71)","(np.float32(0.816406), np.float32(0.816406), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0015,CONFIRMED_NEW,"(512, 512, 84)","(np.float32(0.722656), np.float32(0.722656), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0016,CONFIRMED_NEW,"(512, 512, 93)","(np.float32(0.751953), np.float32(0.751953), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0017,CONFIRMED_NEW,"(512, 512, 108)","(np.float32(0.925781), np.float32(0.925781), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0018,CONFIRMED_NEW,"(512, 512, 98)","(np.float32(0.820312), np.float32(0.820312), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0019,CONFIRMED_NEW,"(512, 512, 98)","(np.float32(0.753906), np.float32(0.753906), np.float32(5.0))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0020,CONFIRMED_NEW,"(512, 512, 92)","(np.float32(0.792969), np.float32(0.792969), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0021,CONFIRMED_NEW,"(512, 512, 100)","(np.float32(0.898438), np.float32(0.898438), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0022,CONFIRMED_NEW,"(512, 512, 98)","(np.float32(0.769531), np.float32(0.769531), np.float32(5.0))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0023,CONFIRMED_NEW,"(512, 512, 102)","(np.float32(0.78125), np.float32(0.78125), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0024,CONFIRMED_NEW,"(512, 512, 99)","(np.float32(0.796875), np.float32(0.796875), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0025,CONFIRMED_NEW,"(512, 512, 85)","(np.float32(0.898438), np.float32(0.898438), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0026,CONFIRMED_NEW,"(512, 512, 104)","(np.float32(0.683594), np.float32(0.683594), np.float32(4.0))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0027,CONFIRMED_NEW,"(512, 512, 102)","(np.float32(0.931641), np.float32(0.931641), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0028,CONFIRMED_NEW,"(512, 512, 89)","(np.float32(0.976562), np.float32(0.976562), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0029,CONFIRMED_NEW,"(512, 512, 93)","(np.float32(0.791016), np.float32(0.791016), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0030,CONFIRMED_NEW,"(512, 512, 99)","(np.float32(0.798828), np.float32(0.798828), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0031,CONFIRMED_NEW,"(512, 512, 101)","(np.float32(0.871094), np.float32(0.871094), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0032,CONFIRMED_NEW,"(512, 512, 103)","(np.float32(0.908203), np.float32(0.908203), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0033,CONFIRMED_NEW,"(512, 512, 107)","(np.float32(0.898438), np.float32(0.898438), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
FLARE22_Tr_0034,CONFIRMED_NEW,"(512, 512, 94)","(np.float32(0.769531), np.float32(0.769531), np.float32(2.5))",Distinct FLARE acquisition; unique geometry
