case_id,eligible,reason,num_gt_organs,roundtrip_max_mm
FLARE22_Tr_0001,YES,VALID_GEOMETRY_AND_GT,13,2.842170943040401e-14
FLARE22_Tr_0002,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0003,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0004,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0005,YES,VALID_GEOMETRY_AND_GT,13,5.684341886080802e-14
FLARE22_Tr_0006,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0007,YES,VALID_GEOMETRY_AND_GT,13,8.038873388460929e-14
FLARE22_Tr_0008,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0009,YES,VALID_GEOMETRY_AND_GT,13,8.038873388460929e-14
FLARE22_Tr_0010,YES,VALID_GEOMETRY_AND_GT,13,2.842170943040401e-14
FLARE22_Tr_0011,YES,VALID_GEOMETRY_AND_GT,13,8.038873388460929e-14
FLARE22_Tr_0012,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0013,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0014,YES,VALID_GEOMETRY_AND_GT,13,8.038873388460929e-14
FLARE22_Tr_0015,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0016,YES,VALID_GEOMETRY_AND_GT,13,8.038873388460929e-14
FLARE22_Tr_0017,YES,VALID_GEOMETRY_AND_GT,13,6.355287432313019e-14
FLARE22_Tr_0018,YES,VALID_GEOMETRY_AND_GT,13,2.842170943040401e-14
FLARE22_Tr_0019,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0020,YES,VALID_GEOMETRY_AND_GT,13,8.038873388460929e-14
FLARE22_Tr_0021,YES,VALID_GEOMETRY_AND_GT,13,5.684341886080802e-14
FLARE22_Tr_0022,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0023,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0024,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0025,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0026,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0027,YES,VALID_GEOMETRY_AND_GT,13,6.355287432313019e-14
FLARE22_Tr_0028,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0029,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0030,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0031,YES,VALID_GEOMETRY_AND_GT,13,2.842170943040401e-14
FLARE22_Tr_0032,YES,VALID_GEOMETRY_AND_GT,13,2.842170943040401e-14
FLARE22_Tr_0033,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0034,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0035,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0036,YES,VALID_GEOMETRY_AND_GT,13,5.684341886080802e-14
FLARE22_Tr_0037,YES,VALID_GEOMETRY_AND_GT,13,8.038873388460929e-14
FLARE22_Tr_0038,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0039,YES,VALID_GEOMETRY_AND_GT,13,2.842170943040401e-14
FLARE22_Tr_0040,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0041,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0042,YES,VALID_GEOMETRY_AND_GT,13,6.355287432313019e-14
FLARE22_Tr_0043,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0044,YES,VALID_GEOMETRY_AND_GT,13,2.842170943040401e-14
FLARE22_Tr_0045,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0046,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0047,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0048,YES,VALID_GEOMETRY_AND_GT,13,0.0
FLARE22_Tr_0049,YES,VALID_GEOMETRY_AND_GT,13,8.038873388460929e-14
FLARE22_Tr_0050,YES,VALID_GEOMETRY_AND_GT,13,2.842170943040401e-14
