target_name,support_N,mre_mm,median_mm,p90_mm,sdr10_pct,sdr15_pct,sdr20_pct,sdr30_pct
esophagus,50,52.41009610690739,52.87419698774235,63.10418141728799,0.0,0.0,0.0,0.0
stomach,50,54.771552095880196,52.79764860944267,71.6177247978555,0.0,0.0,0.0,0.0
pancreas,50,57.431329939692326,57.506219988935655,72.31048393560076,0.0,0.0,0.0,0.0
inferior_vena_cava,50,60.02402065476335,60.12068592956344,72.51654272372154,0.0,0.0,0.0,0.0
aorta,50,60.18178942754704,59.26232140936711,72.59050672396725,0.0,0.0,0.0,0.0
kidney_left,50,60.23923936723225,59.49769981873875,77.12173313803414,0.0,0.0,0.0,0.0
kidney_right,50,61.45021057195771,62.17195890574478,79.78493988589342,0.0,0.0,0.0,0.0
duodenum,50,61.54423688339726,60.1149702886929,75.73859196146921,0.0,0.0,0.0,0.0
liver,50,61.65789793622078,58.97397015481863,76.03724700976893,0.0,0.0,0.0,0.0
gallbladder,50,62.13863592792004,61.67721901034595,81.29915280345861,0.0,0.0,0.0,0.0
spleen,50,62.23753876976262,61.239860613194395,83.30920887122552,0.0,0.0,0.0,2.0
adrenal_gland_left,50,63.487126085849894,64.46892182101027,78.26441510218399,0.0,0.0,0.0,0.0
adrenal_gland_right,50,64.24144102301808,63.783362461299106,76.49548052785842,0.0,0.0,0.0,0.0
