case_id,original_axcodes,canonical_axcodes,affine_determinant,left_right_flip_applied,orientation_status,kidney_components,kidney_lr_resolved
volume-0,LAS,RAS,-2.4719,YES,PASS,0,NOT_APPLICABLE
volume-1,LAS,RAS,-2.2834,YES,PASS,0,NOT_APPLICABLE
volume-2,LAS,RAS,-0.6012,YES,PASS,0,NOT_APPLICABLE
volume-3,LAS,RAS,-0.4807,YES,PASS,0,NOT_APPLICABLE
volume-4,LAS,RAS,-0.6514,YES,PASS,0,NOT_APPLICABLE
volume-5,LAS,RAS,-0.7508,YES,PASS,0,NOT_APPLICABLE
volume-6,LAS,RAS,-0.7622,YES,PASS,0,NOT_APPLICABLE
volume-7,LAS,RAS,-0.5596,YES,PASS,0,NOT_APPLICABLE
volume-8,LAS,RAS,-0.7185,YES,PASS,0,NOT_APPLICABLE
volume-9,LAS,RAS,-0.6729,YES,PASS,0,NOT_APPLICABLE
volume-10,LAS,RAS,-0.5922,YES,PASS,0,NOT_APPLICABLE
volume-11,LAS,RAS,-0.4514,YES,PASS,0,NOT_APPLICABLE
volume-12,LAS,RAS,-0.4281,YES,PASS,0,NOT_APPLICABLE
volume-13,LAS,RAS,-0.7185,YES,PASS,0,NOT_APPLICABLE
volume-14,LAS,RAS,-0.47,YES,PASS,0,NOT_APPLICABLE
volume-15,LAS,RAS,-0.4281,YES,PASS,0,NOT_APPLICABLE
volume-16,LAS,RAS,-0.3955,YES,PASS,0,NOT_APPLICABLE
volume-17,LAS,RAS,-0.5155,YES,PASS,0,NOT_APPLICABLE
volume-18,LAS,RAS,-0.5892,YES,PASS,0,NOT_APPLICABLE
volume-19,LAS,RAS,-3.1185,YES,PASS,0,NOT_APPLICABLE
volume-20,LAS,RAS,-6.1123,YES,PASS,2,YES
volume-21,LAS,RAS,-0.443,YES,PASS,0,NOT_APPLICABLE
volume-22,LAS,RAS,-0.6799,YES,PASS,0,NOT_APPLICABLE
volume-23,LAS,RAS,-0.523,YES,PASS,0,NOT_APPLICABLE
volume-24,LAS,RAS,-0.6732,YES,PASS,0,NOT_APPLICABLE
volume-25,LAS,RAS,-0.4124,YES,PASS,0,NOT_APPLICABLE
volume-26,LAS,RAS,-0.5217,YES,PASS,0,NOT_APPLICABLE
volume-27,LAS,RAS,-0.3815,YES,PASS,0,NOT_APPLICABLE
volume-28,RAS,RAS,1.0,NO,PASS,2,YES
volume-29,RAS,RAS,1.0,NO,PASS,2,YES
volume-30,RAS,RAS,1.0,NO,PASS,2,YES
volume-31,RAS,RAS,1.0,NO,PASS,2,YES
volume-32,RAS,RAS,1.0,NO,PASS,2,YES
volume-33,RAS,RAS,1.0,NO,PASS,2,YES
volume-34,RAS,RAS,1.0,NO,PASS,2,YES
volume-35,RAS,RAS,1.0,NO,PASS,2,YES
volume-36,RAS,RAS,1.0,NO,PASS,2,YES
volume-37,RAS,RAS,1.0,NO,PASS,2,YES
volume-38,RAS,RAS,1.0,NO,PASS,2,YES
volume-39,RAS,RAS,1.0,NO,PASS,2,YES
volume-40,RAS,RAS,1.0,NO,PASS,2,YES
volume-41,RAS,RAS,1.0,NO,PASS,2,YES
volume-42,RAS,RAS,1.0,NO,PASS,2,YES
volume-43,RAS,RAS,1.0,NO,PASS,2,YES
volume-44,RAS,RAS,1.0,NO,PASS,2,YES
volume-45,RAS,RAS,1.0,NO,PASS,2,YES
volume-46,RAS,RAS,1.0,NO,PASS,2,YES
volume-47,RAS,RAS,1.0,NO,PASS,2,YES
volume-48,LAS,RAS,-2.3842,YES,PASS,2,YES
volume-49,LAS,RAS,-2.2804,YES,PASS,2,YES
volume-50,LAS,RAS,-2.0532,YES,PASS,2,YES
volume-51,LAS,RAS,-2.4427,YES,PASS,2,YES
volume-52,LAS,RAS,-1.747,YES,PASS,2,YES
volume-53,LPS,RAS,2.89,YES,PASS,2,YES
volume-54,LPS,RAS,3.429,YES,PASS,2,YES
volume-55,LPS,RAS,1.1089,YES,PASS,2,YES
volume-56,LPS,RAS,1.2888,YES,PASS,2,YES
volume-57,LPS,RAS,0.618,YES,PASS,2,YES
volume-58,LPS,RAS,0.9346,YES,PASS,2,YES
volume-59,LPS,RAS,0.9346,YES,PASS,2,YES
volume-60,LPS,RAS,1.2763,YES,PASS,2,YES
volume-61,LPS,RAS,1.4357,YES,PASS,2,YES
volume-62,LPS,RAS,0.8308,YES,PASS,2,YES
volume-63,LPS,RAS,2.7397,YES,PASS,2,YES
volume-64,LPS,RAS,1.2085,YES,PASS,2,YES
volume-65,LPS,RAS,0.3121,YES,PASS,2,YES
volume-66,LPS,RAS,2.5411,YES,PASS,2,YES
volume-67,LPS,RAS,1.2636,YES,PASS,2,YES
volume-68,RAS,RAS,1.1089,NO,PASS,2,YES
volume-69,RAS,RAS,1.1367,NO,PASS,2,YES
volume-70,LAS,RAS,-0.4465,YES,PASS,2,YES
volume-71,RAS,RAS,1.5492,NO,PASS,2,YES
volume-72,RAS,RAS,1.1483,NO,PASS,2,YES
volume-73,RAS,RAS,3.6189,NO,PASS,2,YES
volume-74,RAS,RAS,3.4128,NO,PASS,2,YES
volume-75,RAS,RAS,2.8714,NO,PASS,2,YES
volume-76,LAS,RAS,-1.3771,YES,PASS,2,YES
volume-77,RAS,RAS,3.0498,NO,PASS,2,YES
volume-78,RAS,RAS,1.5412,NO,PASS,2,YES
volume-79,RAS,RAS,1.905,NO,PASS,2,YES
volume-80,RAS,RAS,0.9346,NO,PASS,2,YES
volume-81,RAS,RAS,0.618,NO,PASS,2,YES
volume-82,RAS,RAS,0.3129,NO,PASS,2,YES
volume-83,LPS,RAS,0.3856,YES,PASS,2,YES
volume-84,LPS,RAS,0.402,YES,PASS,2,YES
volume-85,LPS,RAS,0.2908,YES,PASS,2,YES
volume-86,LPS,RAS,0.3271,YES,PASS,2,YES
volume-87,LPS,RAS,0.5835,YES,PASS,2,YES
volume-88,LPS,RAS,0.4572,YES,PASS,2,YES
volume-89,LPS,RAS,0.3246,YES,PASS,2,YES
volume-90,LPS,RAS,0.488,YES,PASS,2,YES
volume-91,LPS,RAS,0.5889,YES,PASS,2,YES
volume-92,LPS,RAS,0.3602,YES,PASS,2,YES
volume-93,LPS,RAS,0.3506,YES,PASS,2,YES
volume-94,LPS,RAS,0.4914,YES,PASS,2,YES
volume-95,LPS,RAS,0.4357,YES,PASS,2,YES
volume-96,LPS,RAS,0.3897,YES,PASS,2,YES
volume-97,LPS,RAS,0.3656,YES,PASS,2,YES
volume-98,LPS,RAS,0.3775,YES,PASS,2,YES
volume-99,LPS,RAS,0.4272,YES,PASS,2,YES
volume-100,LPS,RAS,0.3422,YES,PASS,2,YES
volume-101,LPS,RAS,0.348,YES,PASS,2,YES
volume-102,LPS,RAS,0.3597,YES,PASS,2,YES
volume-103,LPS,RAS,0.5123,YES,PASS,2,YES
volume-104,LPS,RAS,0.488,YES,PASS,2,YES
volume-105,LPS,RAS,0.4983,YES,PASS,2,YES
volume-106,LPS,RAS,0.4252,YES,PASS,2,YES
volume-107,LPS,RAS,0.4892,YES,PASS,2,YES
volume-108,LPS,RAS,0.4252,YES,PASS,2,YES
volume-109,LPS,RAS,0.4657,YES,PASS,2,YES
volume-110,LPS,RAS,0.4147,YES,PASS,2,YES
volume-111,LPS,RAS,0.4892,YES,PASS,2,YES
volume-112,LPS,RAS,0.3277,YES,PASS,2,YES
volume-113,LPS,RAS,0.488,YES,PASS,2,YES
volume-114,LPS,RAS,0.4892,YES,PASS,2,YES
volume-115,LPS,RAS,0.4572,YES,PASS,1,NO
volume-116,LPS,RAS,0.4358,YES,PASS,2,YES
volume-117,LPS,RAS,0.3699,YES,PASS,2,YES
volume-118,LPS,RAS,0.8306,YES,PASS,2,YES
volume-119,LPS,RAS,1.0679,YES,PASS,1,NO
volume-120,LPS,RAS,0.8306,YES,PASS,2,YES
volume-121,LPS,RAS,0.9479,YES,PASS,2,YES
volume-122,LPS,RAS,0.713,YES,PASS,2,YES
volume-123,LPS,RAS,0.8394,YES,PASS,2,YES
volume-124,LPS,RAS,0.7334,YES,PASS,2,YES
volume-125,LPS,RAS,0.7623,YES,PASS,2,YES
volume-126,LPS,RAS,0.6615,YES,PASS,2,YES
volume-127,LPS,RAS,0.4166,YES,PASS,2,YES
volume-128,LPS,RAS,0.4272,YES,PASS,2,YES
volume-129,LPS,RAS,0.348,YES,PASS,2,YES
volume-130,LPS,RAS,0.3271,YES,PASS,2,YES
volume-131,LAS,RAS,-4.673,YES,PASS,2,YES
volume-132,LPS,RAS,3.1185,YES,PASS,1,NO
volume-133,LAS,RAS,-6.1123,YES,PASS,1,NO
volume-134,LAS,RAS,-0.4523,YES,PASS,0,NOT_APPLICABLE
volume-135,LAS,RAS,-6.1123,YES,PASS,2,YES
volume-136,LAS,RAS,-6.1123,YES,PASS,1,NO
volume-137,LAS,RAS,-4.673,YES,PASS,2,YES
volume-138,LAS,RAS,-4.673,YES,PASS,2,YES
volume-139,LAS,RAS,-6.1123,YES,PASS,2,YES
