case_id,ctorg_sha256,source_provenance,exact_duplicate_with,near_duplicate_score,classification,include_primary
volume-0,7cd876e2f6d050dcf6ae6b2fb9f4b3053a7aeeb145374db7db3755c3532e9522,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-1,fb64c85a1bf6b703a9ed3d333de8be47be3da11ee3b132fd949d7ecb4556402d,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-2,36f74c156d1103767481b586f6a582e73bdf45d4c27f662e55e673dc5bfa3225,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-3,374629cdce034bc50ce06092bedd6ff388a29f1ad62819b5cd63097c777d2493,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-4,b418da70850d2bdf1cf19a0ecc3380ffff3501151d62638b3ca836a08043ab35,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-5,3a6747e7e28ecc78d1a27cdcdbc7ba22c722b6f9d5b9718a740396e0f2938f39,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-6,69ff23f03f0eec03aca08892d88190e80e7b3864803c8903409c0cf11fe91db5,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-7,adb6ebf4d1888e6f7ca1659c442705f2e38cb4a225ea11deab147f6e33d7c998,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-8,81fcc91734f331d1efc135f95a3f6fbbf1e6c74f2e84bf2e4ed6ffe6c6067a73,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-9,bb8bacc9fa278a8be50f092a991c48caa9795e39d2acfc8199261464772ba4a8,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-10,2abfd8f53f84d7da248393a5a6dee090e709ca205805a6ed9031b4cc2080fd90,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-11,ab3dcc7a7c0555e82fc046ce5312dcfac556c44097e5a260d5c785af0433ac05,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-12,e78a452d044faf9244f5ad0ae11f1e9e851a9250ca0cfc5099216c477f908caf,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-13,d08eb3391027090ffcafe98607aff467fb7d8e0236c1bac8fda3b8d80c5810b6,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-14,366ffd8a74ed23183cc269ad72f794e76dddd7a10bcea6aa83fb94c8ed9980b0,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-15,d8f19619beffb7f153dd67d357f32d76510d8a47b9d6f2e173e6350609f57cd7,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-16,bd18c0b14ba63ebaa5a06de07893d655103c85e60062f492048b8e219df460f9,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-17,33048f78d8fae062cd4a747d9e53abafa023875900636bb7cc716969a4c8673f,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-18,ddc22604cbc2a3193adf54468608e2771463f0c45546d4b4cf11394a28e41779,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-19,2b0d280fd0f53b207b7f64a2eef02e21c4a7fb378eff4ac4b651042fa7661104,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-20,8ec207bfb45cf5e86f0e641d29e3b2ff84b87f0cfe57bbea70142ef16907a301,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-21,0216c514987db57bdc189b0499d4511d577ed11c4e8ee52e440752a819c1f52d,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-22,7cfb70633fa43629ac4d52344e22400f7a81727240b9fab40af64329a761cab5,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-23,6b359b2cf9793d17a919f80edfe8f3210e5df09bf8a77801bd98aa7ea4021aa1,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-24,6abb737eb37201a8bd250da4509c31a73395f50392ffdc37eefced586156c183,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-25,92e6fe8ea876e8b1da7d54d23c962b4578015419bf1c554e0466bacc4b5ac346,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-26,f1f325d6e85f33296ab75635393fb847449fb9fe1c4c725f93187b16783e5888,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-27,eee08bfd21e1e621b8e05624bea411ea4e5481e4003bde505d15614b7fbc47cd,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-28,8e2cdbbe8b8f30d6df730ff1759ceedd362f207398068179fec3d0e25f2cf8c4,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-29,8802a2c013aecf7e50f594fe19d41cbaf379bd6f1b2648451afc2087e1c6258e,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-30,7c6542811ec20ee35561380a50cbdedc156d941a8d5ffa179768de218ac2a858,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-31,1665400f47f22b5ef103629c65ba51b18dcd90c8f5db5f07c3ce57c033331189,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-32,550bd299e9a32d8883d3ff5155abe54c642651c45c327ccce358a0c1096dbbb4,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-33,8a6be152033fb24fd2969e70061c7105bdd6c3ce1cfd1740814d8246826cd5ed,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
volume-34,7d6b798bc8418cdca495a983f237de85f75f2f1635f76f78691641a4039b9f00,LiTS origin,NONE,0.0,CONFIRMED_NEW,YES
