case_id,ct_exists,label_exists,nifti_valid,affine_valid,orientation_resolved,surface_extractable,surface_points_ge_4096,num_overlapping_targets,is_duplicate,is_possible_overlap,eligible,exclusion_reason
volume-0,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-1,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-2,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-3,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-4,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-5,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-6,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-7,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-8,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-9,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-10,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-11,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-12,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-13,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-14,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-15,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-16,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-17,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-18,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-19,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-20,YES,YES,YES,YES,YES,YES,YES,5,NO,NO,YES,NONE
volume-21,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-22,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-23,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-24,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-25,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-26,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-27,YES,YES,YES,YES,YES,YES,YES,4,NO,NO,YES,NONE
volume-28,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-29,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-30,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-31,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-32,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-33,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-34,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-35,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-36,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-37,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-38,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-39,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-40,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-41,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-42,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-43,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-44,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-45,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-46,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
volume-47,YES,YES,YES,YES,YES,YES,YES,3,NO,NO,YES,NONE
