model_id,model_family,model_name,description,seed_or_config,macro_mre_mm,micro_mre_mm,median_mm,p90_mm,sdr10_percent,sdr20_percent,is_neural,is_proposed
C0,Analytical / Spatial Prior,Population Atlas,Zero-parameter spatial prior (mean organ coordinates from training cohort),Deterministic,65.97,64.57,50.12,115.1,2.5,12.2,False,False
C1,Classical Linear Baseline,Linear Ridge Regressor,Direct linear mapping from 4096 flattened surface points to 104 target coordinates,Deterministic (alpha=1.0),63.74,61.91,49.98,115.22,1.9,10.2,False,False
C5,Classical Statistical Shape Model,Statistical Shape Model (SSM / PCA),Surface PCA (64 principal components) + linear regression to target centroids,64 Components,52.56,50.73,39.86,91.07,3.6,17.3,False,False
C2-Mean,Deep Learning Point Cloud,PointNet++ Direct Regressor,Multi-scale set abstraction encoder + global multi-layer perceptron regressor,3-Seed Mean ± SD,41.4,40.46,29.88,69.59,7.0,28.7,True,False
C2-Ens,Deep Learning Point Cloud,PointNet++ Direct Regressor (Ensemble),"Ensemble average of 3 PointNet++ models (Seeds 42, 43, 44)",3-Seed Ensemble,39.31,38.42,27.87,65.04,7.9,31.3,True,False
C3-Mean,Deep Learning Dynamic Graph,DGCNN Target Decoder,PointNet++ encoder + dynamic graph convolutional decoder over target queries,3-Seed Mean ± SD,43.48,42.72,31.22,74.21,5.8,25.5,True,False
C3-Ens,Deep Learning Dynamic Graph,DGCNN Target Decoder (Ensemble),"Ensemble average of 3 DGCNN models (Seeds 42, 43, 44)",3-Seed Ensemble,41.24,40.43,29.18,71.45,6.6,28.1,True,False
C4-Mean,Proposed Point Transformer,Target-Query Point Transformer,Multi-scale PointNet++ tokens + 104 learned queries + cross-attention decoder,3-Seed Mean ± SD,24.69,24.55,19.4,43.24,15.1,52.0,True,True
C4-Ens-Val,Proposed Point Transformer,Target-Query Point Transformer (Ensemble),Frozen 3-seed ensemble evaluated on validation cohort,3-Seed Ensemble (Val),23.39,23.27,18.42,40.65,17.0,55.8,True,True
C4-Ens-Locked,Proposed Point Transformer,Target-Query Point Transformer (Final Frozen Test),Final sealed evaluation on locked held-out test cohort (N=168),3-Seed Ensemble (Locked Test),23.22,22.84,18.79,40.12,15.3,54.9,True,True
