mode_id,target_slot,target_name,mre_mm,reference_mre_mm,delta_mre_mm
Full_360_Reference,0,spleen,28.04,28.04,0.0
Full_360_Reference,1,kidney_right,28.88,28.88,0.0
Full_360_Reference,2,kidney_left,27.69,27.69,0.0
Full_360_Reference,3,gallbladder,36.85,36.85,0.0
Full_360_Reference,4,liver,28.76,28.76,0.0
Full_360_Reference,5,stomach,30.5,30.5,0.0
Full_360_Reference,6,pancreas,26.77,26.77,0.0
Full_360_Reference,7,adrenal_gland_right,23.9,23.9,0.0
Full_360_Reference,8,adrenal_gland_left,24.1,24.1,0.0
Full_360_Reference,9,lung_upper_lobe_left,20.9,20.9,0.0
Full_360_Reference,10,lung_lower_lobe_left,24.12,24.12,0.0
Full_360_Reference,11,lung_upper_lobe_right,23.95,23.95,0.0
Full_360_Reference,12,lung_middle_lobe_right,23.38,23.38,0.0
Full_360_Reference,13,lung_lower_lobe_right,24.86,24.86,0.0
Full_360_Reference,14,esophagus,19.21,19.21,0.0
Full_360_Reference,15,trachea,19.58,19.58,0.0
Full_360_Reference,16,thyroid_gland,21.13,21.13,0.0
Full_360_Reference,17,small_bowel,32.47,32.47,0.0
Full_360_Reference,18,duodenum,28.35,28.35,0.0
Full_360_Reference,19,colon,34.28,34.28,0.0
Full_360_Reference,20,urinary_bladder,25.99,25.99,0.0
Full_360_Reference,25,vertebrae_S1,22.09,22.09,0.0
Full_360_Reference,26,vertebrae_L5,21.77,21.77,0.0
Full_360_Reference,27,vertebrae_L4,21.7,21.7,0.0
Full_360_Reference,28,vertebrae_L3,23.77,23.77,0.0
Full_360_Reference,29,vertebrae_L2,22.32,22.32,0.0
Full_360_Reference,30,vertebrae_L1,21.46,21.46,0.0
Full_360_Reference,31,vertebrae_T12,20.36,20.36,0.0
Full_360_Reference,32,vertebrae_T11,20.4,20.4,0.0
Full_360_Reference,33,vertebrae_T10,19.76,19.76,0.0
Full_360_Reference,34,vertebrae_T9,19.73,19.73,0.0
Full_360_Reference,35,vertebrae_T8,19.79,19.79,0.0
