target_index,target_name,provenance,primary_benchmark_mask,notes
0,spleen,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
1,kidney_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
2,kidney_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
3,gallbladder,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
4,liver,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
5,stomach,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
6,pancreas,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
7,adrenal_gland_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
8,adrenal_gland_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
9,lung_upper_lobe_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
10,lung_lower_lobe_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
11,lung_upper_lobe_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
12,lung_middle_lobe_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
13,lung_lower_lobe_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
14,esophagus,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
15,trachea,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
16,thyroid_gland,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
17,small_bowel,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
18,duodenum,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
19,colon,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
20,urinary_bladder,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
21,prostate,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
22,sacrum,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
23,vertebrae_S1,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
24,vertebrae_L5,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
25,vertebrae_L4,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
26,vertebrae_L3,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
27,vertebrae_L2,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
28,vertebrae_L1,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
29,vertebrae_T12,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
30,vertebrae_T11,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
31,vertebrae_T10,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
32,vertebrae_T9,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
33,vertebrae_T8,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
34,vertebrae_T7,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
35,vertebrae_T6,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
36,vertebrae_T5,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
37,vertebrae_T4,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
38,vertebrae_T3,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
39,vertebrae_T2,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
40,vertebrae_T1,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
41,vertebrae_C7,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
42,vertebrae_C6,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
43,vertebrae_C5,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
44,vertebrae_C4,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
45,vertebrae_C3,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
46,vertebrae_C2,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
47,vertebrae_C1,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
48,heart,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
49,aorta,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
50,pulmonary_vein,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
51,brachiocephalic_trunk,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
52,subclavian_artery_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
53,subclavian_artery_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
54,common_carotid_artery_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
55,common_carotid_artery_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
56,superior_vena_cava,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
57,inferior_vena_cava,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
58,portal_vein_and_splenic_vein,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
59,iliac_artery_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
60,iliac_artery_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
61,iliac_vena_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
62,iliac_vena_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
63,humerus_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
64,humerus_left,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
65,scapula_right,REAL_SEGMENTATION,1,TotalSegmentator v2 mask
