target_index,target_name,category,source_type,train_valid_count,val_valid_count,test_valid_count,total_valid_count,percentage_valid
0,spleen,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,44,43,438,99.5%
1,kidney_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,349,44,43,436,99.1%
2,kidney_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,350,44,42,436,99.1%
3,gallbladder,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,333,42,40,415,94.3%
4,liver,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,44,44,440,100.0%
5,stomach,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,44,44,440,100.0%
6,pancreas,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,350,44,43,437,99.3%
7,adrenal_gland_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,348,44,43,435,98.9%
8,adrenal_gland_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,348,44,43,435,98.9%
9,lung_upper_lobe_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,350,40,43,433,98.4%
10,lung_lower_lobe_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,44,44,439,99.8%
11,lung_upper_lobe_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,222,23,25,270,61.4%
12,lung_middle_lobe_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,41,43,435,98.9%
13,lung_lower_lobe_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,44,44,439,99.8%
14,esophagus,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,350,43,43,436,99.1%
15,trachea,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,94,12,12,118,26.8%
16,thyroid_gland,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
17,small_bowel,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,348,44,43,435,98.9%
18,duodenum,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,348,44,43,435,98.9%
19,colon,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,350,44,43,437,99.3%
20,urinary_bladder,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,331,39,41,411,93.4%
21,prostate,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,195,23,27,245,55.7%
22,sacrum,LOW_SUPPORT,REAL_SEGMENTATION,19,1,5,25,5.7%
23,vertebrae_S1,LOW_SUPPORT,REAL_SEGMENTATION,28,8,9,45,10.2%
24,vertebrae_L5,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,339,39,43,421,95.7%
25,vertebrae_L4,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,339,39,43,421,95.7%
26,vertebrae_L3,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,341,41,43,425,96.6%
27,vertebrae_L2,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,341,41,43,425,96.6%
28,vertebrae_L1,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,343,41,43,427,97.0%
29,vertebrae_T12,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,347,42,43,432,98.2%
30,vertebrae_T11,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,44,43,438,99.5%
31,vertebrae_T10,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,44,43,439,99.8%
32,vertebrae_T9,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,351,44,43,438,99.5%
33,vertebrae_T8,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,346,44,41,431,98.0%
34,vertebrae_T7,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,330,40,37,407,92.5%
35,vertebrae_T6,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,291,34,33,358,81.4%
36,vertebrae_T5,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,226,25,29,280,63.6%
37,vertebrae_T4,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,156,20,19,195,44.3%
38,vertebrae_T3,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,112,12,14,138,31.4%
39,vertebrae_T2,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,90,10,12,112,25.5%
40,vertebrae_T1,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,89,10,12,111,25.2%
41,vertebrae_C7,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,89,10,12,111,25.2%
42,vertebrae_C6,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,89,10,12,111,25.2%
43,vertebrae_C5,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,80,8,12,100,22.7%
44,vertebrae_C4,LOW_SUPPORT,REAL_SEGMENTATION,33,3,5,41,9.3%
45,vertebrae_C3,VERY_LOW_SUPPORT,REAL_SEGMENTATION,9,2,1,12,2.7%
46,vertebrae_C2,VERY_LOW_SUPPORT,REAL_SEGMENTATION,3,1,1,5,1.1%
47,vertebrae_C1,VERY_LOW_SUPPORT,REAL_SEGMENTATION,3,1,1,5,1.1%
48,heart,VERY_LOW_SUPPORT,REAL_SEGMENTATION,2,0,1,3,0.7%
49,aorta,VERY_LOW_SUPPORT,REAL_SEGMENTATION,2,0,1,3,0.7%
50,pulmonary_vein,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,345,41,42,428,97.3%
51,brachiocephalic_trunk,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,352,43,44,439,99.8%
52,subclavian_artery_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,203,21,24,248,56.4%
53,subclavian_artery_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
54,common_carotid_artery_right,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
55,common_carotid_artery_left,SUFFICIENT_SUPPORT,REAL_SEGMENTATION,88,10,12,110,25.0%
