target_index,target_name,anatomical_group,pointnet_mre_mm,pointnet_median_mm,valid_count
0,spleen,SOFT_TISSUE,29.49,27.08,44
1,kidney_right,SOFT_TISSUE,29.02,26.08,44
2,kidney_left,SOFT_TISSUE,27.61,23.59,44
3,gallbladder,SOFT_TISSUE,35.82,31.52,42
4,liver,SOFT_TISSUE,27.93,23.50,44
5,stomach,SOFT_TISSUE,33.49,28.63,44
6,pancreas,SOFT_TISSUE,24.46,17.59,44
7,adrenal_gland_right,SOFT_TISSUE,24.87,18.78,44
8,adrenal_gland_left,SOFT_TISSUE,25.56,19.99,44
9,lung_upper_lobe_left,SOFT_TISSUE,26.94,22.04,40
10,lung_lower_lobe_left,SOFT_TISSUE,30.11,26.13,44
11,lung_upper_lobe_right,SOFT_TISSUE,30.15,30.46,23
12,lung_middle_lobe_right,SOFT_TISSUE,27.57,20.54,41
13,lung_lower_lobe_right,SOFT_TISSUE,27.93,23.56,44
14,esophagus,SOFT_TISSUE,20.40,15.65,43
15,trachea,SOFT_TISSUE,23.38,22.02,12
16,thyroid_gland,SOFT_TISSUE,27.39,24.14,10
17,small_bowel,SOFT_TISSUE,34.48,30.51,44
18,duodenum,SOFT_TISSUE,26.12,22.17,44
19,colon,SOFT_TISSUE,35.40,28.88,44
20,urinary_bladder,SOFT_TISSUE,25.66,21.52,39
21,prostate,SOFT_TISSUE,22.02,16.80,23
24,vertebrae_L5,SKELETAL,20.70,17.56,39
25,vertebrae_L4,SKELETAL,22.34,18.91,39
26,vertebrae_L3,SKELETAL,21.41,16.12,41
27,vertebrae_L2,SKELETAL,22.86,19.56,41
28,vertebrae_L1,SKELETAL,20.80,18.11,41
29,vertebrae_T12,SKELETAL,22.82,19.50,42
30,vertebrae_T11,SKELETAL,23.68,20.21,44
31,vertebrae_T10,SKELETAL,23.88,18.65,44
32,vertebrae_T9,SKELETAL,24.97,21.02,44
33,vertebrae_T8,SKELETAL,26.88,21.19,44
34,vertebrae_T7,SKELETAL,25.70,21.12,40
35,vertebrae_T6,SKELETAL,27.49,21.83,34
36,vertebrae_T5,SKELETAL,20.10,18.68,25
37,vertebrae_T4,SKELETAL,22.00,20.64,20
38,vertebrae_T3,SKELETAL,17.86,17.61,12
39,vertebrae_T2,SKELETAL,19.55,20.48,10
40,vertebrae_T1,SKELETAL,22.46,21.47,10
41,vertebrae_C7,SKELETAL,22.68,25.05,10
42,vertebrae_C6,SKELETAL,22.72,23.01,10
43,vertebrae_C5,SKELETAL,24.80,22.69,8
50,pulmonary_vein,SOFT_TISSUE,25.42,22.54,41
51,brachiocephalic_trunk,SOFT_TISSUE,18.67,16.68,43
52,subclavian_artery_right,SOFT_TISSUE,21.90,22.87,21
53,subclavian_artery_left,SOFT_TISSUE,21.25,22.92,10
54,common_carotid_artery_right,SOFT_TISSUE,23.66,22.34,10
55,common_carotid_artery_left,SOFT_TISSUE,23.76,23.82,10
56,superior_vena_cava,SOFT_TISSUE,22.21,19.14,10
57,inferior_vena_cava,SOFT_TISSUE,20.75,21.78,10
58,portal_vein_and_splenic_vein,SOFT_TISSUE,22.55,22.46,10
59,iliac_artery_right,SOFT_TISSUE,21.99,24.19,10
60,iliac_artery_left,SOFT_TISSUE,21.01,20.12,13
61,iliac_vena_right,SOFT_TISSUE,18.30,15.71,14
62,iliac_vena_left,SOFT_TISSUE,21.39,17.73,43
63,humerus_right,SKELETAL,30.12,24.08,43
64,humerus_left,SKELETAL,21.01,17.20,39
65,scapula_right,SKELETAL,22.37,15.56,39
66,scapula_left,SKELETAL,20.88,18.75,39
67,clavicula_right,SKELETAL,19.74,15.32,39
68,clavicula_left,SKELETAL,32.84,28.81,11
69,femur_right,SKELETAL,38.57,33.81,11
70,femur_left,SKELETAL,20.60,16.80,20
71,hip_right,SKELETAL,22.80,21.50,20
72,hip_left,SKELETAL,29.57,28.96,10
73,spinal_cord,SOFT_TISSUE,30.14,28.44,10
74,gluteus_maximus_right,SOFT_TISSUE,27.39,15.96,39
75,gluteus_maximus_left,SOFT_TISSUE,25.34,18.32,39
76,gluteus_medius_right,SOFT_TISSUE,24.65,17.21,40
77,gluteus_medius_left,SOFT_TISSUE,23.72,16.64,41
78,gluteus_minimus_right,SOFT_TISSUE,17.91,13.97,44
79,gluteus_minimus_left,SOFT_TISSUE,24.12,18.29,39
80,autochthon_right,SOFT_TISSUE,22.71,18.17,39
81,autochthon_left,SOFT_TISSUE,26.02,20.11,39
82,iliopsoas_right,SOFT_TISSUE,24.16,17.33,40
83,iliopsoas_left,SOFT_TISSUE,24.78,19.52,39
84,brain,SOFT_TISSUE,23.38,17.94,39
85,skull,SKELETAL,20.52,16.76,44
86,rib_left_1,SKELETAL,19.08,15.43,44
87,rib_left_2,SKELETAL,22.48,20.09,44
88,rib_left_3,SKELETAL,21.23,17.19,44
91,rib_left_6,SKELETAL,21.73,21.09,10
92,rib_left_7,SKELETAL,23.49,21.22,10
93,rib_left_8,SKELETAL,23.02,23.71,10
94,rib_left_9,SKELETAL,26.86,24.91,24
95,rib_left_10,SKELETAL,25.28,22.55,33
96,rib_left_11,SKELETAL,30.04,25.47,39
97,rib_left_12,SKELETAL,30.85,27.69,43
98,rib_right_1,SKELETAL,28.28,23.71,43
99,rib_right_2,SKELETAL,28.90,23.89,43
100,rib_right_3,SKELETAL,28.10,21.83,43
101,rib_right_4,SKELETAL,27.32,24.14,44
102,rib_right_5,SKELETAL,28.88,26.72,44
103,rib_right_6,SKELETAL,20.23,19.35,10
104,rib_right_7,SKELETAL,23.58,20.41,10
105,rib_right_8,SKELETAL,26.27,22.60,10
106,rib_right_9,SKELETAL,26.68,19.78,25
107,rib_right_10,SKELETAL,22.28,22.39,32
108,rib_right_11,SKELETAL,26.01,21.73,37
109,rib_right_12,SKELETAL,26.60,22.18,43
110,sternum,SKELETAL,29.05,22.79,43
111,costal_cartilages,SKELETAL,30.13,24.57,43
112,atrial_appendage_left,SOFT_TISSUE,27.60,22.35,43
113,subclavian_vein_right,SOFT_TISSUE,30.12,23.97,44
114,subclavian_vein_left,SOFT_TISSUE,30.20,26.44,44
115,brachiocephalic_vein_right,SOFT_TISSUE,19.90,16.45,35
116,brachiocephalic_vein_left,SOFT_TISSUE,23.36,17.70,43
