target_index,target_name,group,V0_MRE_mm,V1_MRE_mm,V2_MRE_mm,V4_MRE_mm,improvement_mm,dispersion_mm,effective_voters,mean_gate
0,spleen,SOFT_TISSUE,18.64,26.64,27.39,23.68,-5.04,42.83,61.2,0.218
1,kidney_right,SOFT_TISSUE,18.64,24.56,24.46,21.82,-3.18,41.45,60.8,0.210
2,kidney_left,SOFT_TISSUE,18.64,23.09,23.49,19.53,-0.89,41.61,60.7,0.222
3,gallbladder,SOFT_TISSUE,18.64,34.15,32.82,30.56,-11.92,41.69,61.1,0.213
4,liver,SOFT_TISSUE,18.64,24.78,24.67,21.54,-2.90,40.67,61.1,0.219
5,stomach,SOFT_TISSUE,18.64,32.08,30.94,28.73,-10.09,40.58,61.0,0.218
6,pancreas,SOFT_TISSUE,18.64,21.59,23.90,19.72,-1.08,40.08,61.1,0.209
7,adrenal_gland_right,SOFT_TISSUE,18.64,19.85,19.60,17.94,+0.70,40.87,60.8,0.218
8,adrenal_gland_left,SOFT_TISSUE,18.64,19.35,21.53,17.23,+1.41,42.82,60.6,0.210
9,lung_upper_lobe_left,SOFT_TISSUE,18.64,23.91,20.49,20.06,-1.42,39.89,61.8,0.210
10,lung_lower_lobe_left,SOFT_TISSUE,18.64,24.41,23.76,21.81,-3.17,41.22,61.3,0.206
11,lung_upper_lobe_right,SOFT_TISSUE,18.64,30.42,23.87,25.78,-7.14,39.05,61.8,0.206
12,lung_middle_lobe_right,SOFT_TISSUE,18.64,23.05,21.95,18.49,+0.15,40.11,61.4,0.206
13,lung_lower_lobe_right,SOFT_TISSUE,18.64,24.10,20.81,20.27,-1.63,39.37,61.4,0.216
14,esophagus,SOFT_TISSUE,18.64,16.41,15.93,14.22,+4.42,39.43,61.9,0.205
15,trachea,SOFT_TISSUE,18.64,24.90,19.93,20.93,-2.29,39.70,61.3,0.201
16,thyroid_gland,SOFT_TISSUE,18.64,20.69,16.40,15.75,+2.89,39.60,61.8,0.207
17,small_bowel,SOFT_TISSUE,18.64,35.86,31.10,29.47,-10.83,40.46,61.4,0.210
18,duodenum,SOFT_TISSUE,18.64,24.09,26.14,22.64,-4.00,39.90,61.4,0.216
19,colon,SOFT_TISSUE,18.64,37.59,34.10,30.45,-11.81,43.98,60.4,0.218
20,urinary_bladder,SOFT_TISSUE,18.64,19.29,18.97,15.78,+2.86,51.01,59.7,0.218
21,prostate,SOFT_TISSUE,18.64,17.56,17.95,15.23,+3.41,54.29,58.8,0.216
24,vertebrae_L5,SKELETAL,18.64,14.79,15.14,12.78,+5.86,47.42,60.1,0.220
25,vertebrae_L4,SKELETAL,18.64,16.16,16.87,14.88,+3.76,47.00,60.1,0.220
26,vertebrae_L3,SKELETAL,18.64,18.36,18.67,16.66,+1.98,45.21,60.3,0.217
27,vertebrae_L2,SKELETAL,18.64,18.48,18.36,17.03,+1.61,42.93,60.7,0.223
28,vertebrae_L1,SKELETAL,18.64,18.03,16.54,15.54,+3.10,41.11,60.7,0.216
29,vertebrae_T12,SKELETAL,18.64,17.66,15.96,15.65,+2.99,42.33,60.7,0.222
30,vertebrae_T11,SKELETAL,18.64,18.16,15.90,15.29,+3.35,39.89,61.0,0.226
31,vertebrae_T10,SKELETAL,18.64,19.07,16.25,15.24,+3.40,42.33,60.8,0.222
32,vertebrae_T9,SKELETAL,18.64,20.09,17.26,15.48,+3.16,41.34,61.1,0.211
33,vertebrae_T8,SKELETAL,18.64,21.37,18.43,17.12,+1.52,41.32,60.9,0.214
