source_label_id,source_label_name,source_description,annotation_provenance
0,Background,DAP Atlas 142-class structure Background,AUTOMATIC_POSTPROCESSED_NNUNET
1,Left to annotate,DAP Atlas 142-class structure Left to annotate,AUTOMATIC_POSTPROCESSED_NNUNET
2,muscles,DAP Atlas 142-class structure muscles,AUTOMATIC_POSTPROCESSED_NNUNET
3,fat,DAP Atlas 142-class structure fat,AUTOMATIC_POSTPROCESSED_NNUNET
4,abdominal tissue,DAP Atlas 142-class structure abdominal tissue,AUTOMATIC_POSTPROCESSED_NNUNET
5,mediastinal tissue,DAP Atlas 142-class structure mediastinal tissue,AUTOMATIC_POSTPROCESSED_NNUNET
6,esophagus,DAP Atlas 142-class structure esophagus,AUTOMATIC_POSTPROCESSED_NNUNET
7,stomach,DAP Atlas 142-class structure stomach,AUTOMATIC_POSTPROCESSED_NNUNET
8,small bowel,DAP Atlas 142-class structure small bowel,AUTOMATIC_POSTPROCESSED_NNUNET
9,duodenum,DAP Atlas 142-class structure duodenum,AUTOMATIC_POSTPROCESSED_NNUNET
10,colon,DAP Atlas 142-class structure colon,AUTOMATIC_POSTPROCESSED_NNUNET
11,rectum,DAP Atlas 142-class structure rectum,AUTOMATIC_POSTPROCESSED_NNUNET
12,gallbladder,DAP Atlas 142-class structure gallbladder,AUTOMATIC_POSTPROCESSED_NNUNET
13,liver,DAP Atlas 142-class structure liver,AUTOMATIC_POSTPROCESSED_NNUNET
14,pancreas,DAP Atlas 142-class structure pancreas,AUTOMATIC_POSTPROCESSED_NNUNET
15,kidney left,DAP Atlas 142-class structure kidney left,AUTOMATIC_POSTPROCESSED_NNUNET
16,kidney right,DAP Atlas 142-class structure kidney right,AUTOMATIC_POSTPROCESSED_NNUNET
17,bladder,DAP Atlas 142-class structure bladder,AUTOMATIC_POSTPROCESSED_NNUNET
18,gonads,DAP Atlas 142-class structure gonads,AUTOMATIC_POSTPROCESSED_NNUNET
19,prostate,DAP Atlas 142-class structure prostate,AUTOMATIC_POSTPROCESSED_NNUNET
20,uterocervix,DAP Atlas 142-class structure uterocervix,AUTOMATIC_POSTPROCESSED_NNUNET
21,uterus,DAP Atlas 142-class structure uterus,AUTOMATIC_POSTPROCESSED_NNUNET
22,breast left,DAP Atlas 142-class structure breast left,AUTOMATIC_POSTPROCESSED_NNUNET
23,breast right,DAP Atlas 142-class structure breast right,AUTOMATIC_POSTPROCESSED_NNUNET
24,spinal canal,DAP Atlas 142-class structure spinal canal,AUTOMATIC_POSTPROCESSED_NNUNET
25,brain,DAP Atlas 142-class structure brain,AUTOMATIC_POSTPROCESSED_NNUNET
26,spleen,DAP Atlas 142-class structure spleen,AUTOMATIC_POSTPROCESSED_NNUNET
27,adrenal gland left,DAP Atlas 142-class structure adrenal gland left,AUTOMATIC_POSTPROCESSED_NNUNET
