source_label_id,source_label_name,source_description,annotation_provenance
1,spleen,AMOS 2022 / Dataset V2 spleen,MANUAL_OR_EXPERT_VALIDATED
2,kidney_right,AMOS 2022 / Dataset V2 kidney_right,MANUAL_OR_EXPERT_VALIDATED
3,kidney_left,AMOS 2022 / Dataset V2 kidney_left,MANUAL_OR_EXPERT_VALIDATED
4,gallbladder,AMOS 2022 / Dataset V2 gallbladder,MANUAL_OR_EXPERT_VALIDATED
5,liver,AMOS 2022 / Dataset V2 liver,MANUAL_OR_EXPERT_VALIDATED
6,stomach,AMOS 2022 / Dataset V2 stomach,MANUAL_OR_EXPERT_VALIDATED
7,pancreas,AMOS 2022 / Dataset V2 pancreas,MANUAL_OR_EXPERT_VALIDATED
8,adrenal_gland_right,AMOS 2022 / Dataset V2 adrenal_gland_right,MANUAL_OR_EXPERT_VALIDATED
9,adrenal_gland_left,AMOS 2022 / Dataset V2 adrenal_gland_left,MANUAL_OR_EXPERT_VALIDATED
10,lung_upper_lobe_left,AMOS 2022 / Dataset V2 lung_upper_lobe_left,MANUAL_OR_EXPERT_VALIDATED
11,lung_lower_lobe_left,AMOS 2022 / Dataset V2 lung_lower_lobe_left,MANUAL_OR_EXPERT_VALIDATED
12,lung_upper_lobe_right,AMOS 2022 / Dataset V2 lung_upper_lobe_right,MANUAL_OR_EXPERT_VALIDATED
13,lung_middle_lobe_right,AMOS 2022 / Dataset V2 lung_middle_lobe_right,MANUAL_OR_EXPERT_VALIDATED
14,lung_lower_lobe_right,AMOS 2022 / Dataset V2 lung_lower_lobe_right,MANUAL_OR_EXPERT_VALIDATED
15,esophagus,AMOS 2022 / Dataset V2 esophagus,MANUAL_OR_EXPERT_VALIDATED
16,trachea,AMOS 2022 / Dataset V2 trachea,MANUAL_OR_EXPERT_VALIDATED
17,thyroid_gland,AMOS 2022 / Dataset V2 thyroid_gland,MANUAL_OR_EXPERT_VALIDATED
18,small_bowel,AMOS 2022 / Dataset V2 small_bowel,MANUAL_OR_EXPERT_VALIDATED
19,duodenum,AMOS 2022 / Dataset V2 duodenum,MANUAL_OR_EXPERT_VALIDATED
20,colon,AMOS 2022 / Dataset V2 colon,MANUAL_OR_EXPERT_VALIDATED
21,urinary_bladder,AMOS 2022 / Dataset V2 urinary_bladder,MANUAL_OR_EXPERT_VALIDATED
22,prostate,AMOS 2022 / Dataset V2 prostate,MANUAL_OR_EXPERT_VALIDATED
23,sacrum,AMOS 2022 / Dataset V2 sacrum,MANUAL_OR_EXPERT_VALIDATED
24,vertebrae_S1,AMOS 2022 / Dataset V2 vertebrae_S1,MANUAL_OR_EXPERT_VALIDATED
25,vertebrae_L5,AMOS 2022 / Dataset V2 vertebrae_L5,MANUAL_OR_EXPERT_VALIDATED
26,vertebrae_L4,AMOS 2022 / Dataset V2 vertebrae_L4,MANUAL_OR_EXPERT_VALIDATED
27,vertebrae_L3,AMOS 2022 / Dataset V2 vertebrae_L3,MANUAL_OR_EXPERT_VALIDATED
28,vertebrae_L2,AMOS 2022 / Dataset V2 vertebrae_L2,MANUAL_OR_EXPERT_VALIDATED
29,vertebrae_L1,AMOS 2022 / Dataset V2 vertebrae_L1,MANUAL_OR_EXPERT_VALIDATED
30,vertebrae_T12,AMOS 2022 / Dataset V2 vertebrae_T12,MANUAL_OR_EXPERT_VALIDATED
31,vertebrae_T11,AMOS 2022 / Dataset V2 vertebrae_T11,MANUAL_OR_EXPERT_VALIDATED
32,vertebrae_T10,AMOS 2022 / Dataset V2 vertebrae_T10,MANUAL_OR_EXPERT_VALIDATED
33,vertebrae_T9,AMOS 2022 / Dataset V2 vertebrae_T9,MANUAL_OR_EXPERT_VALIDATED
34,vertebrae_T8,AMOS 2022 / Dataset V2 vertebrae_T8,MANUAL_OR_EXPERT_VALIDATED
35,vertebrae_T7,AMOS 2022 / Dataset V2 vertebrae_T7,MANUAL_OR_EXPERT_VALIDATED
36,vertebrae_T6,AMOS 2022 / Dataset V2 vertebrae_T6,MANUAL_OR_EXPERT_VALIDATED
37,vertebrae_T5,AMOS 2022 / Dataset V2 vertebrae_T5,MANUAL_OR_EXPERT_VALIDATED
38,vertebrae_T4,AMOS 2022 / Dataset V2 vertebrae_T4,MANUAL_OR_EXPERT_VALIDATED
39,vertebrae_T3,AMOS 2022 / Dataset V2 vertebrae_T3,MANUAL_OR_EXPERT_VALIDATED
40,vertebrae_T2,AMOS 2022 / Dataset V2 vertebrae_T2,MANUAL_OR_EXPERT_VALIDATED
41,vertebrae_T1,AMOS 2022 / Dataset V2 vertebrae_T1,MANUAL_OR_EXPERT_VALIDATED
42,vertebrae_C7,AMOS 2022 / Dataset V2 vertebrae_C7,MANUAL_OR_EXPERT_VALIDATED
43,vertebrae_C6,AMOS 2022 / Dataset V2 vertebrae_C6,MANUAL_OR_EXPERT_VALIDATED
