source,case_id,subject_id,ct_shape,mask_shape,affine_max_difference,spacing_difference,orientation_ct,orientation_mask,geometry_status
v2,case_000,v2_case_000,"(768, 768, 90)","(768, 768, 90)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_001,v2_case_001,"(512, 512, 90)","(512, 512, 90)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_002,v2_case_002,"(512, 512, 90)","(512, 512, 90)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_003,v2_case_003,"(512, 512, 78)","(512, 512, 78)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_004,v2_case_004,"(768, 768, 80)","(768, 768, 80)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_005,v2_case_005,"(512, 512, 99)","(512, 512, 99)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_006,v2_case_006,"(768, 768, 107)","(768, 768, 107)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_007,v2_case_007,"(512, 512, 90)","(512, 512, 90)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_008,v2_case_008,"(512, 512, 132)","(512, 512, 132)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_009,v2_case_009,"(512, 512, 92)","(512, 512, 92)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_010,v2_case_010,"(512, 512, 97)","(512, 512, 97)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_011,v2_case_011,"(512, 512, 93)","(512, 512, 93)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_012,v2_case_012,"(768, 768, 103)","(768, 768, 103)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_013,v2_case_013,"(512, 512, 91)","(512, 512, 91)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_014,v2_case_014,"(512, 512, 91)","(512, 512, 91)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_015,v2_case_015,"(512, 512, 101)","(512, 512, 101)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_016,v2_case_016,"(512, 512, 82)","(512, 512, 82)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_017,v2_case_017,"(512, 512, 124)","(512, 512, 124)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_018,v2_case_018,"(512, 512, 86)","(512, 512, 86)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_019,v2_case_019,"(512, 512, 85)","(512, 512, 85)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_020,v2_case_020,"(512, 512, 81)","(512, 512, 81)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_021,v2_case_021,"(512, 512, 136)","(512, 512, 136)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_022,v2_case_022,"(512, 512, 124)","(512, 512, 124)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_023,v2_case_023,"(512, 512, 99)","(512, 512, 99)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_024,v2_case_024,"(512, 512, 125)","(512, 512, 125)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_025,v2_case_025,"(512, 512, 115)","(512, 512, 115)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_026,v2_case_026,"(512, 512, 106)","(512, 512, 106)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_027,v2_case_027,"(512, 512, 93)","(512, 512, 93)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_028,v2_case_028,"(512, 512, 124)","(512, 512, 124)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_029,v2_case_029,"(768, 768, 94)","(768, 768, 94)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_030,v2_case_030,"(512, 512, 126)","(512, 512, 126)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_031,v2_case_031,"(768, 768, 96)","(768, 768, 96)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_032,v2_case_032,"(512, 512, 89)","(512, 512, 89)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_033,v2_case_033,"(512, 512, 85)","(512, 512, 85)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_034,v2_case_034,"(768, 768, 104)","(768, 768, 104)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_035,v2_case_035,"(768, 768, 91)","(768, 768, 91)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_036,v2_case_036,"(768, 768, 89)","(768, 768, 89)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_037,v2_case_037,"(768, 768, 98)","(768, 768, 98)",0.000000,0.000000,LAS,LAS,PASSED
v2,case_038,v2_case_038,"(768, 768, 109)","(768, 768, 109)",0.000000,0.000000,LAS,LAS,PASSED
