canonical_target_id,canonical_name,v2_support,ts_support,v2_mean_x,v2_mean_y,v2_mean_z,ts_mean_x,ts_mean_y,ts_mean_z,delta_mean_x,delta_mean_y,delta_mean_z,delta_mean_norm,v2_trace_var,ts_trace_var,variance_ratio
76,femur_right,113,553,141.8,-14.9,249.4,107.6,-20.0,-217.8,-34.1,-5.1,-467.2,468.47,7428.4,9323.6,1.26
75,femur_left,232,563,-120.1,-55.1,210.8,-106.9,-19.4,-213.7,13.2,35.7,-424.5,426.20,3912.7,10111.6,2.58
77,hip_left,111,641,-55.1,15.0,248.1,-73.0,-29.3,-136.9,-17.9,-44.2,-384.9,387.89,6553.0,12301.1,1.88
78,hip_right,228,637,122.0,-52.1,210.0,74.6,-29.6,-138.4,-47.4,22.5,-348.4,352.35,4123.8,11793.7,2.86
66,iliac_artery_right,110,631,24.1,19.4,216.1,37.8,12.8,-116.9,13.8,-6.6,-333.0,333.33,5884.5,11304.3,1.92
69,humerus_left,422,610,-42.0,14.4,-113.7,-148.8,-18.1,179.8,-106.9,-32.5,293.5,314.08,2979.3,13637.5,4.58
90,brain,415,244,107.9,-6.5,-142.3,2.2,-3.1,144.9,-105.7,3.4,287.1,305.99,3089.1,24230.6,7.84
68,iliac_vena_right,160,623,20.4,14.5,178.8,41.6,2.6,-125.9,21.2,-11.9,-304.7,305.71,5201.7,11358.8,2.18
65,iliac_artery_left,151,634,-39.2,11.0,155.3,-38.6,10.5,-113.5,0.5,-0.5,-268.8,268.82,6120.1,12212.0,2.00
74,clavicula_right,422,720,40.0,8.7,-122.8,58.6,14.3,145.2,18.7,5.7,268.0,268.70,3168.3,18254.8,5.76
71,scapula_left,422,804,-38.0,4.7,-121.9,-116.6,-63.6,121.4,-78.7,-68.3,243.3,264.69,3156.8,14307.9,4.53
72,scapula_right,422,780,37.1,17.1,-112.7,117.3,-61.9,122.2,80.2,-79.0,234.9,260.49,3030.9,14551.1,4.80
63,inferior_vena_cava,110,976,-16.9,15.0,233.3,21.8,1.8,-6.3,38.7,-13.2,-239.5,243.02,5641.0,8477.6,1.50
79,spinal_cord,111,1182,54.2,12.9,247.7,0.9,-56.8,25.7,-53.3,-69.8,-221.9,238.66,6681.2,4714.8,0.71
85,gluteus_minimus_right,440,567,0.4,-51.4,50.5,114.9,-12.0,-141.2,114.5,39.4,-191.7,226.78,1882.6,11887.7,6.31
64,portal_vein_and_splenic_vein,110,821,-9.0,29.1,212.2,5.6,17.7,-10.2,14.6,-11.4,-222.4,223.16,5845.1,11140.6,1.91
93,rib_left_2,435,752,-63.6,-5.2,-94.9,-73.4,-6.6,123.3,-9.8,-1.4,218.2,218.46,3160.3,16485.1,5.22
114,rib_right_11,416,860,102.3,32.6,168.4,84.3,-81.4,-4.1,-18.0,-114.0,-172.5,207.49,4809.4,10050.5,2.09
81,gluteus_maximus_right,411,590,-104.3,-19.3,-203.2,89.5,-80.0,-180.7,193.8,-60.7,22.5,204.37,3248.5,12173.3,3.75
102,rib_left_11,418,853,-105.7,30.6,166.2,-84.0,-81.5,-1.6,21.7,-112.1,-167.7,202.92,4786.8,10235.7,2.14
80,gluteus_maximus_left,413,592,101.2,-16.5,-204.1,-88.5,-79.3,-177.9,-189.6,-62.8,26.2,201.48,3232.1,13656.2,4.23
67,iliac_vena_left,439,629,18.6,2.6,71.8,-33.8,0.8,-121.8,-52.4,-1.8,-193.6,200.56,4686.2,12450.2,2.66
115,rib_right_12,438,769,111.1,12.8,152.6,59.1,-81.7,-13.8,-52.0,-94.5,-166.4,198.31,4893.9,10235.5,2.09
113,rib_right_10,334,859,91.8,40.3,181.3,102.3,-70.1,19.5,10.5,-110.4,-161.8,196.14,5344.3,10202.9,1.91
101,rib_left_10,342,877,-94.7,38.7,181.5,-102.2,-70.0,18.9,-7.5,-108.7,-162.6,195.72,5212.3,10288.5,1.97
103,rib_left_12,437,776,-113.1,11.1,151.7,-58.3,-82.2,-11.2,54.8,-93.3,-162.9,195.57,4650.3,10433.2,2.24
83,gluteus_medius_right,423,613,-71.7,-23.9,-141.3,119.8,-34.1,-124.0,191.5,-10.2,17.3,192.56,3083.6,11439.9,3.71
87,autochthon_right,419,1131,85.4,-70.5,-178.4,28.8,-87.6,3.5,-56.6,-17.1,181.9,191.25,3063.7,5161.8,1.68
82,gluteus_medius_left,423,621,70.1,-22.0,-142.0,-116.7,-33.6,-116.0,-186.7,-11.6,26.0,188.88,3063.6,12878.2,4.20
117,costal_cartilages,438,1014,107.9,-40.2,126.3,-1.6,79.8,34.6,-109.5,119.9,-91.7,186.52,4861.3,10409.0,2.14
106,rib_right_3,438,757,-96.6,-57.2,106.5,83.0,-10.6,103.4,179.6,46.6,-3.1,185.62,4950.6,15477.3,3.13
105,rib_right_2,439,745,-106.3,-40.3,125.9,73.6,-6.8,122.1,180.0,33.5,-3.8,183.10,4840.6,16417.6,3.39
91,skull,440,444,-31.5,-78.8,38.2,1.9,47.6,166.2,33.4,126.4,128.1,182.98,2272.4,24443.8,10.76
107,rib_right_4,438,777,-80.8,-69.1,85.4,90.2,-13.1,89.3,171.0,55.9,4.0,179.98,4951.8,14383.5,2.90
100,rib_left_9,218,889,-87.6,29.2,191.0,-111.0,-54.1,38.7,-23.4,-83.3,-152.2,175.09,6503.3,10152.5,1.56
62,superior_vena_cava,110,768,16.3,17.1,248.6,26.1,9.1,74.7,9.9,-8.0,-173.8,174.27,5632.1,12839.4,2.28
112,rib_right_9,217,860,83.9,30.7,191.2,111.4,-53.9,41.5,27.5,-84.5,-149.7,174.10,6571.5,10244.0,1.56
97,rib_left_6,110,900,-57.2,10.1,238.1,-104.2,-5.1,75.9,-47.0,-15.3,-162.2,169.59,5902.0,12744.8,2.16
104,rib_right_1,439,737,-112.1,-16.5,139.3,55.0,6.6,130.5,167.2,23.1,-8.8,168.97,4714.2,16823.6,3.57
70,humerus_right,435,615,6.5,14.6,82.4,144.9,-15.5,173.5,138.4,-30.1,91.1,168.39,5402.1,15794.1,2.92
109,rib_right_6,110,863,51.5,10.2,237.5,102.0,-7.4,81.2,50.5,-17.7,-156.3,165.16,5981.2,12888.9,2.15
86,autochthon_left,422,1131,-114.2,-28.9,-121.1,-27.7,-88.2,3.8,86.5,-59.3,124.9,163.10,3124.1,5411.6,1.73
108,rib_right_5,434,826,-56.8,-71.3,69.7,94.2,-10.9,81.9,151.0,60.3,12.2,163.09,4763.6,14347.7,3.01
96,rib_left_5,21,854,-4.0,79.2,180.8,-96.0,-8.2,79.3,-92.0,-87.4,-101.5,162.44,15669.6,14024.0,0.89
98,rib_left_7,111,884,-75.6,-5.7,224.9,-112.9,-15.0,70.3,-37.3,-9.3,-154.6,159.34,7275.7,10501.9,1.44
110,rib_right_7,110,849,70.5,-4.6,227.4,111.1,-15.1,74.6,40.6,-10.4,-152.8,158.41,6189.6,10486.8,1.69
92,rib_left_1,440,739,30.8,-77.9,34.8,-54.9,7.5,132.2,-85.7,85.4,97.4,155.36,2163.8,16885.3,7.80
99,rib_left_8,120,886,-85.4,-1.2,201.1,-114.6,-34.1,57.1,-29.2,-32.9,-144.0,150.52,7328.3,9957.9,1.36
116,sternum,438,948,112.5,-15.2,140.0,0.2,70.8,89.8,-112.3,86.0,-50.2,150.14,4823.4,12675.6,2.63
111,rib_right_8,124,856,79.0,2.3,201.7,114.3,-33.1,60.7,35.3,-35.3,-141.0,149.62,6732.1,10067.6,1.50
61,atrial_appendage_left,438,668,97.7,-56.7,105.5,-34.9,3.0,74.7,-132.6,59.7,-30.8,148.62,4943.3,8139.6,1.65
73,clavicula_left,112,724,-143.6,-19.5,256.0,-55.8,15.7,144.3,87.8,35.2,-111.6,146.30,5924.2,17947.4,3.03
12,lung_upper_lobe_right,267,876,48.7,40.0,199.2,60.0,0.6,87.2,11.3,-39.4,-112.1,119.31,5611.6,14117.6,2.52
26,vertebrae_S1,40,593,66.9,-26.4,-4.4,0.6,-49.3,-96.8,-66.3,-22.9,-92.5,116.07,16058.5,10743.1,0.67
14,lung_lower_lobe_right,439,985,68.8,-30.6,158.7,66.7,-48.2,49.0,-2.1,-17.6,-109.7,111.10,4567.3,12336.9,2.70
53,pulmonary_vein,428,770,-28.7,36.9,164.9,-2.5,-19.3,73.1,26.2,-56.2,-91.8,110.79,4517.8,9377.1,2.08
11,lung_lower_lobe_left,439,1000,-73.7,-33.7,156.2,-72.8,-50.9,48.2,0.9,-17.3,-108.0,109.39,4431.6,12217.5,2.76
17,thyroid_gland,110,700,-1.4,23.1,257.4,1.7,20.8,149.6,3.0,-2.3,-107.8,107.90,5798.2,17149.6,2.96
16,trachea,116,792,0.1,0.0,204.7,4.2,-6.4,97.8,4.1,-6.4,-106.9,107.16,5485.4,14274.8,2.60
60,brachiocephalic_vein_right,367,735,-2.4,80.5,188.7,30.1,15.2,113.9,32.5,-65.3,-74.8,104.47,3549.6,15981.6,4.50
58,common_carotid_artery_left,110,753,-39.4,3.1,233.4,-16.2,10.6,132.9,23.1,7.5,-100.5,103.36,5864.1,15865.2,2.71
10,lung_upper_lobe_left,433,1022,-84.6,33.6,184.1,-76.3,8.8,86.6,8.2,-24.8,-97.5,100.91,3572.4,13281.0,3.72
15,esophagus,436,1033,-10.1,-6.6,167.4,-6.8,-17.1,68.4,3.3,-10.5,-98.9,99.54,3163.5,10797.9,3.41
13,lung_middle_lobe_right,435,878,66.1,51.3,168.1,74.3,38.1,71.3,8.2,-13.3,-96.8,98.09,4741.1,9735.2,2.05
56,subclavian_artery_left,110,751,3.6,23.6,212.2,-38.0,-1.6,127.2,-41.6,-25.2,-85.0,97.92,5863.9,16798.2,2.86
57,common_carotid_artery_right,110,720,37.3,5.6,241.8,21.2,13.5,148.1,-16.1,7.8,-93.6,95.33,6014.5,16675.5,2.77
45,vertebrae_C6,111,525,-2.4,-23.7,254.8,0.2,-3.9,161.7,2.6,19.8,-93.1,95.26,6750.3,19349.7,2.87
5,liver,440,937,59.4,15.8,97.1,65.5,18.0,3.7,6.1,2.2,-93.4,93.67,5434.0,10736.1,1.98
6,stomach,440,902,-45.5,31.6,89.9,-45.5,33.9,-2.4,-0.0,2.3,-92.3,92.34,5530.0,10823.1,1.96
1,spleen,438,883,-90.6,-34.0,90.3,-95.6,-37.7,-1.1,-5.0,-3.7,-91.4,91.58,5580.7,11029.2,1.98
8,adrenal_gland_right,434,821,31.2,-20.3,83.2,33.9,-21.5,-4.3,2.7,-1.2,-87.5,87.52,4852.9,10977.7,2.26
39,vertebrae_T5,278,727,1.9,-68.5,179.8,2.2,-71.5,94.0,0.3,-3.0,-85.8,85.86,4802.6,14405.5,3.00
4,gallbladder,414,640,65.2,40.4,64.7,71.0,45.1,-20.6,5.7,4.8,-85.3,85.64,5627.4,11335.7,2.01
9,adrenal_gland_left,434,788,-34.5,-11.9,76.0,-38.4,-12.9,-8.8,-3.9,-1.0,-84.8,84.86,5010.7,10882.4,2.17
38,vertebrae_T6,357,721,1.8,-64.9,170.7,2.6,-77.5,90.1,0.8,-12.6,-80.6,81.62,4606.1,11458.0,2.49
7,pancreas,437,804,-16.5,18.0,60.0,-19.7,21.7,-21.3,-3.2,3.7,-81.3,81.47,5147.6,10732.0,2.08
84,gluteus_minimus_left,418,577,-86.8,-72.0,-178.9,-113.2,-9.2,-137.4,-26.4,62.9,41.5,79.82,3075.3,13605.3,4.42
40,vertebrae_T4,193,738,1.0,-67.8,182.5,1.1,-63.0,105.5,0.1,4.8,-77.0,77.10,5135.8,15821.9,3.08
37,vertebrae_T7,406,727,2.0,-59.1,158.8,3.1,-80.2,86.8,1.2,-21.1,-72.0,75.03,4726.2,8637.6,1.83
44,vertebrae_C7,111,682,-2.3,-32.8,238.6,0.1,-15.4,166.2,2.4,17.4,-72.4,74.53,6560.4,17789.2,2.71
3,kidney_left,436,797,-65.1,-34.3,38.6,-70.4,-35.3,-34.6,-5.4,-1.1,-73.2,73.40,5068.1,10273.4,2.03
36,vertebrae_T8,431,786,1.3,-55.1,139.5,2.5,-80.9,76.3,1.2,-25.9,-63.2,68.33,5040.0,8457.2,1.68
2,kidney_right,436,772,63.1,-32.5,31.5,67.1,-33.6,-35.0,4.0,-1.1,-66.5,66.63,4751.4,10209.9,2.15
41,vertebrae_T3,137,738,0.7,-60.8,187.8,0.2,-53.5,121.8,-0.5,7.3,-65.9,66.34,5802.9,16625.9,2.87
88,iliopsoas_left,416,823,-110.2,-7.7,-143.5,-58.2,-15.2,-103.8,52.0,-7.5,39.7,65.88,3250.7,9968.7,3.07
43,vertebrae_T1,111,702,-1.9,-42.0,219.1,-0.4,-30.1,154.4,1.5,11.9,-64.7,65.78,6529.2,17682.8,2.71
19,duodenum,435,759,25.2,16.3,28.4,23.6,22.3,-35.1,-1.6,6.0,-63.5,63.79,4722.7,10389.3,2.20
89,iliopsoas_right,423,828,114.5,-26.4,-124.3,55.8,-18.4,-105.8,-58.6,8.0,18.6,62.02,3175.4,8923.4,2.81
42,vertebrae_T2,112,722,-1.1,-49.4,199.5,-0.4,-41.7,138.2,0.8,7.8,-61.4,61.85,6155.0,17562.5,2.85
55,subclavian_artery_right,247,729,0.2,-13.8,171.4,44.5,2.4,133.9,44.3,16.2,-37.5,60.27,5424.0,17199.8,3.17
35,vertebrae_T9,438,846,0.9,-51.9,115.8,2.2,-78.3,62.4,1.3,-26.3,-53.4,59.55,4999.6,9201.1,1.84
34,vertebrae_T10,438,876,0.5,-48.7,88.7,2.0,-72.8,44.8,1.5,-24.1,-43.9,50.11,4874.4,10101.5,2.07
27,vertebrae_L5,421,617,0.5,-63.7,-114.9,0.2,-38.2,-76.3,-0.3,25.4,38.6,46.24,3130.4,10219.6,3.26
33,vertebrae_T11,438,885,0.1,-44.4,58.7,1.5,-67.2,24.4,1.4,-22.8,-34.3,41.23,4787.5,10537.0,2.20
20,colon,437,908,0.7,20.2,-33.6,-14.8,30.6,-69.8,-15.5,10.4,-36.2,40.70,4568.5,10236.2,2.24
28,vertebrae_L4,421,635,-0.1,-39.5,-90.1,-0.3,-35.4,-51.8,-0.2,4.2,38.3,38.53,3218.3,10196.2,3.17
32,vertebrae_T12,432,866,-0.0,-38.4,29.7,0.9,-61.1,1.9,0.9,-22.7,-27.7,35.88,4152.2,10558.9,2.54
29,vertebrae_L3,425,641,-0.3,-30.2,-64.6,-0.5,-40.5,-34.8,-0.2,-10.3,29.8,31.49,3482.0,9688.5,2.78
54,brachiocephalic_trunk,439,731,-11.9,-5.7,114.5,7.1,17.4,111.7,19.0,23.1,-2.8,30.06,2405.9,15595.4,6.48
18,small_bowel,435,808,-20.3,30.5,-51.4,-27.5,37.9,-76.5,-7.2,7.4,-25.1,27.14,4242.1,10195.5,2.40
31,vertebrae_L1,427,793,-0.3,-32.4,-1.0,0.1,-54.0,-15.8,0.4,-21.6,-14.8,26.18,3705.3,10203.4,2.75
30,vertebrae_L2,425,710,-0.6,-28.2,-33.3,-0.7,-46.4,-29.0,-0.0,-18.2,4.3,18.74,3516.0,9728.5,2.77
21,urinary_bladder,411,569,-0.2,6.9,-174.6,2.6,6.1,-171.8,2.8,-0.9,2.8,4.05,3027.8,14121.8,4.66
52,aorta,3,1102,NA,NA,NA,-10.6,-8.8,47.0,NA,NA,NA,NA,NA,8796.5,NA
